NUMRESERVA;IDALOJAMIENTO;IDMIEMBRO;TIPOID;DIARESERVA;TIEMPODIAS;;;;;;
33061;10288;80056;CC;28/03/18;48;;;;;;
33062;10299;72557;CC;28/03/18;47;;;;;;
33063;10384;78111;CC;28/03/18;110;;;;;;
33064;10416;77550;CC;28/03/18;47;;;;;;
33065;10424;72535;CC;28/03/18;70;;;;;;
33066;10496;81954;CC;28/03/18;40;;;;;;
33067;10582;72877;CC;28/03/18;70;;;;;;
33068;10585;81652;CC;28/03/18;79;;;;;;
33069;10808;78701;CC;28/03/18;82;;;;;;
33070;10811;77511;CC;28/03/18;37;;;;;;
33071;10981;76009;CC;28/03/18;98;;;;;;
33072;10985;76727;CC;28/03/18;116;;;;;;
33073;11062;73734;CC;28/03/18;96;;;;;;
33074;11085;78500;CC;28/03/18;56;;;;;;
33075;11096;80903;CC;28/03/18;110;;;;;;
33076;11116;77568;CC;28/03/18;92;;;;;;
33077;11180;74796;CC;28/03/18;91;;;;;;
33078;11202;72797;CC;28/03/18;53;;;;;;
33079;11294;76687;CC;28/03/18;63;;;;;;
33080;11330;80674;CC;28/03/18;67;;;;;;
33081;11347;74787;CC;28/03/18;71;;;;;;
33082;11384;77366;CC;28/03/18;50;;;;;;
33083;11393;79047;CC;28/03/18;59;;;;;;
33084;11437;73349;CC;28/03/18;86;;;;;;
33085;11531;73876;CC;28/03/18;37;;;;;;
33086;11557;78018;CC;28/03/18;33;;;;;;
33087;11560;72574;CC;28/03/18;37;;;;;;
33088;10344;73948;CC;27/03/18;50;;;;;;
33089;10435;78198;CC;27/03/18;115;;;;;;
33090;10445;73689;CC;27/03/18;64;;;;;;
33091;10450;76171;CC;27/03/18;114;;;;;;
33092;10524;77400;CC;27/03/18;112;;;;;;
33093;10543;78599;CC;27/03/18;64;;;;;;
33094;10581;80048;CC;27/03/18;100;;;;;;
33095;10604;81548;CC;27/03/18;55;;;;;;
33096;10699;74633;CC;27/03/18;63;;;;;;
33097;10763;75496;CC;27/03/18;33;;;;;;
33098;10963;74382;TI;27/03/18;113;;;;;;
33099;10994;75073;CC;27/03/18;48;;;;;;
33100;11035;80114;CC;27/03/18;102;;;;;;
33101;11081;80009;CC;27/03/18;113;;;;;;
33102;11193;77564;CC;27/03/18;87;;;;;;
33103;11253;73022;CC;27/03/18;94;;;;;;
33104;11331;79672;CC;27/03/18;59;;;;;;
33105;11370;76404;CC;27/03/18;44;;;;;;
33106;11549;81099;CC;27/03/18;84;;;;;;
33107;10305;79075;CC;26/03/18;50;;;;;;
33108;10339;82084;CC;26/03/18;38;;;;;;
33109;10355;75721;CC;26/03/18;37;;;;;;
33110;10394;76230;CC;26/03/18;83;;;;;;
33111;10413;80823;CC;26/03/18;82;;;;;;
33112;10544;79324;TI;26/03/18;70;;;;;;
33113;10554;77706;CC;26/03/18;74;;;;;;
33114;10655;75160;CC;26/03/18;96;;;;;;
33115;10677;76740;CC;26/03/18;101;;;;;;
33116;10683;75251;CC;26/03/18;69;;;;;;
33117;10725;74232;CC;26/03/18;78;;;;;;
33118;10735;72848;CC;26/03/18;50;;;;;;
33119;10767;78604;CC;26/03/18;52;;;;;;
33120;10992;79977;CC;26/03/18;82;;;;;;
33121;11004;78857;CC;26/03/18;55;;;;;;
33122;11021;81378;CC;26/03/18;40;;;;;;
33123;11260;78766;CC;26/03/18;71;;;;;;
33124;11400;80892;CC;26/03/18;111;;;;;;
33125;10356;72305;CC;25/03/18;42;;;;;;
33126;10376;75364;CC;25/03/18;80;;;;;;
33127;10419;74952;CC;25/03/18;106;;;;;;
33128;10540;76515;CC;25/03/18;96;;;;;;
33129;10596;81465;CC;25/03/18;83;;;;;;
33130;10623;73473;CC;25/03/18;100;;;;;;
33131;10662;74845;CC;25/03/18;87;;;;;;
33132;10768;74815;CC;25/03/18;39;;;;;;
33133;10880;76819;CC;25/03/18;107;;;;;;
33134;10904;80232;CC;25/03/18;81;;;;;;
33135;10909;82077;CC;25/03/18;91;;;;;;
33136;10930;75911;CC;25/03/18;119;;;;;;
33137;11007;80193;CC;25/03/18;79;;;;;;
33138;11103;73495;CC;25/03/18;84;;;;;;
33139;11412;78153;CC;25/03/18;51;;;;;;
33140;11474;77672;CC;25/03/18;120;;;;;;
33141;11488;75307;CC;25/03/18;34;;;;;;
33142;11517;80778;CC;25/03/18;65;;;;;;
33143;10366;72160;CC;24/03/18;94;;;;;;
33144;10386;75598;CC;24/03/18;74;;;;;;
33145;10432;81304;CC;24/03/18;58;;;;;;
33146;10509;74165;CC;24/03/18;116;;;;;;
33147;10598;76231;CC;24/03/18;101;;;;;;
33148;10746;79087;CC;24/03/18;118;;;;;;
33149;10787;76968;CC;24/03/18;108;;;;;;
33150;10818;78070;CC;24/03/18;45;;;;;;
33151;10829;79936;CC;24/03/18;74;;;;;;
33152;10990;78552;CC;24/03/18;113;;;;;;
33153;11008;81327;CC;24/03/18;119;;;;;;
33154;11018;79253;CC;24/03/18;36;;;;;;
33155;11053;77912;CC;24/03/18;120;;;;;;
33156;11094;79347;CC;24/03/18;36;;;;;;
33157;11154;79633;CC;24/03/18;98;;;;;;
33158;11327;80731;CC;24/03/18;101;;;;;;
33159;11448;75246;CC;24/03/18;58;;;;;;
33160;11519;77268;CC;24/03/18;109;;;;;;
33161;11530;80295;CC;24/03/18;80;;;;;;
33162;10352;76124;CC;23/03/18;50;;;;;;
33163;10431;77128;CC;23/03/18;73;;;;;;
33164;10545;72818;CC;23/03/18;93;;;;;;
33165;10790;81433;CC;23/03/18;72;;;;;;
33166;10821;73991;CC;23/03/18;95;;;;;;
33167;10825;74874;CC;23/03/18;97;;;;;;
33168;10933;75718;CC;23/03/18;44;;;;;;
33169;10952;75592;CC;23/03/18;114;;;;;;
33170;11038;76042;CC;23/03/18;92;;;;;;
33171;11049;80715;CC;23/03/18;111;;;;;;
33172;11298;78866;CC;23/03/18;44;;;;;;
33173;11305;77644;CC;23/03/18;39;;;;;;
33174;11361;72906;CC;23/03/18;47;;;;;;
33175;11414;79744;CC;23/03/18;55;;;;;;
33176;11429;73940;CC;23/03/18;96;;;;;;
33177;11446;79166;CC;23/03/18;69;;;;;;
33178;11501;82015;CC;23/03/18;57;;;;;;
33179;11508;81898;CC;23/03/18;77;;;;;;
33180;11528;79963;CC;23/03/18;62;;;;;;
33181;11548;80412;CC;23/03/18;83;;;;;;
33182;11555;72713;CC;23/03/18;57;;;;;;
33183;10312;78889;CC;22/03/18;45;;;;;;
33184;10318;75985;CC;22/03/18;51;;;;;;
33185;10337;80330;CC;22/03/18;40;;;;;;
33186;10377;76537;CC;22/03/18;96;;;;;;
33187;10426;77089;CC;22/03/18;47;;;;;;
33188;10563;74204;CC;22/03/18;88;;;;;;
33189;10673;79248;CC;22/03/18;54;;;;;;
33190;10753;80700;CC;22/03/18;76;;;;;;
33191;10883;73011;CC;22/03/18;100;;;;;;
33192;10886;77274;CC;22/03/18;33;;;;;;
33193;10893;76244;CC;22/03/18;71;;;;;;
33194;10910;75405;CC;22/03/18;77;;;;;;
33195;10913;80415;CC;22/03/18;56;;;;;;
33196;10974;77352;CC;22/03/18;80;;;;;;
33197;11010;75678;CC;22/03/18;36;;;;;;
33198;11078;75542;CC;22/03/18;76;;;;;;
33199;11093;79716;CC;22/03/18;32;;;;;;
33200;11100;76307;CC;22/03/18;90;;;;;;
33201;11213;75173;CC;22/03/18;76;;;;;;
33202;11219;73472;CC;22/03/18;75;;;;;;
33203;11234;77227;CC;22/03/18;96;;;;;;
33204;11247;78052;CC;22/03/18;117;;;;;;
33205;11257;80454;CC;22/03/18;74;;;;;;
33206;11368;78303;CC;22/03/18;120;;;;;;
33207;11372;74866;CC;22/03/18;40;;;;;;
33208;11402;74840;CC;22/03/18;41;;;;;;
33209;11408;76092;CC;22/03/18;112;;;;;;
33210;11493;76226;TI;22/03/18;80;;;;;;
33211;10354;78512;CC;21/03/18;54;;;;;;
33212;10368;72301;CC;21/03/18;52;;;;;;
33213;10369;80305;CC;21/03/18;44;;;;;;
33214;10443;74472;CC;21/03/18;56;;;;;;
33215;10482;81371;CC;21/03/18;85;;;;;;
33216;10493;79312;CC;21/03/18;107;;;;;;
33217;10541;73864;CC;21/03/18;72;;;;;;
33218;10578;74185;CC;21/03/18;104;;;;;;
33219;10691;74043;CC;21/03/18;113;;;;;;
33220;10716;73749;TI;21/03/18;43;;;;;;
33221;10719;82061;CC;21/03/18;80;;;;;;
33222;10831;81201;CC;21/03/18;82;;;;;;
33223;10839;76589;CC;21/03/18;88;;;;;;
33224;10958;73205;CC;21/03/18;91;;;;;;
33225;10973;76581;CC;21/03/18;76;;;;;;
33226;11263;76734;CC;21/03/18;42;;;;;;
33227;11282;77627;CC;21/03/18;115;;;;;;
33228;11304;80574;CC;21/03/18;109;;;;;;
33229;11308;80465;CC;21/03/18;40;;;;;;
33230;11387;78241;CC;21/03/18;110;;;;;;
33231;11484;77590;CC;21/03/18;57;;;;;;
33232;11504;79599;CC;21/03/18;40;;;;;;
33233;11554;74090;CC;21/03/18;53;;;;;;
33234;10302;75009;CC;20/03/18;51;;;;;;
33235;10399;72775;CC;20/03/18;117;;;;;;
33236;10404;76025;CC;20/03/18;95;;;;;;
33237;10422;74739;CC;20/03/18;62;;;;;;
33238;10506;78352;CC;20/03/18;73;;;;;;
33239;10527;79660;CC;20/03/18;120;;;;;;
33240;10595;73916;CC;20/03/18;100;;;;;;
33241;10668;75067;CC;20/03/18;84;;;;;;
33242;10785;78080;CC;20/03/18;105;;;;;;
33243;10802;73765;CC;20/03/18;108;;;;;;
33244;10841;74438;CC;20/03/18;60;;;;;;
33245;10885;76073;CC;20/03/18;35;;;;;;
33246;10945;81014;CC;20/03/18;73;;;;;;
33247;10980;76838;CC;20/03/18;73;;;;;;
33248;11022;79780;CC;20/03/18;73;;;;;;
33249;11063;78548;CC;20/03/18;78;;;;;;
33250;11238;72273;CC;20/03/18;104;;;;;;
33251;11291;78578;CC;20/03/18;38;;;;;;
33252;11337;76535;TI;20/03/18;114;;;;;;
33253;10412;77805;CC;19/03/18;64;;;;;;
33254;10418;74755;CC;19/03/18;93;;;;;;
33255;10542;78329;CC;19/03/18;33;;;;;;
33256;10614;77191;CC;19/03/18;83;;;;;;
33257;10615;74971;CC;19/03/18;56;;;;;;
33258;10635;72414;CC;19/03/18;98;;;;;;
33259;10639;73367;CC;19/03/18;87;;;;;;
33260;10754;72375;CC;19/03/18;53;;;;;;
33261;10891;81405;CC;19/03/18;76;;;;;;
33262;11162;75984;CC;19/03/18;101;;;;;;
33263;11275;73218;CC;19/03/18;52;;;;;;
33264;11290;74143;CC;19/03/18;92;;;;;;
33265;11365;79490;CC;19/03/18;76;;;;;;
33266;11441;72127;CC;19/03/18;86;;;;;;
33267;11452;72490;CC;19/03/18;70;;;;;;
33268;11455;73885;TI;19/03/18;83;;;;;;
33269;10270;77068;CC;18/03/18;46;;;;;;
33270;10279;77561;CC;18/03/18;43;;;;;;
33271;10373;78707;CC;18/03/18;112;;;;;;
33272;10504;73643;CC;18/03/18;98;;;;;;
33273;10507;76327;CC;18/03/18;85;;;;;;
33274;10530;80356;CC;18/03/18;32;;;;;;
33275;10570;74118;CC;18/03/18;48;;;;;;
33276;10580;76026;CC;18/03/18;35;;;;;;
33277;10607;81096;CC;18/03/18;36;;;;;;
33278;10628;79456;CC;18/03/18;90;;;;;;
33279;10637;79487;CC;18/03/18;98;;;;;;
33280;10665;76024;CC;18/03/18;120;;;;;;
33281;10714;79519;CC;18/03/18;86;;;;;;
33282;10751;73379;CC;18/03/18;89;;;;;;
33283;10764;76726;CC;18/03/18;115;;;;;;
33284;10861;80274;CC;18/03/18;74;;;;;;
33285;10868;75478;CC;18/03/18;45;;;;;;
33286;10871;79807;CC;18/03/18;94;;;;;;
33287;10950;81251;CC;18/03/18;96;;;;;;
33288;11014;81463;CC;18/03/18;71;;;;;;
33289;11054;82031;CC;18/03/18;108;;;;;;
33290;11058;74481;CC;18/03/18;109;;;;;;
33291;11077;76139;CC;18/03/18;44;;;;;;
33292;11126;78427;CC;18/03/18;41;;;;;;
33293;11156;76004;CC;18/03/18;58;;;;;;
33294;11170;72494;CC;18/03/18;97;;;;;;
33295;11328;76689;CC;18/03/18;62;;;;;;
33296;11461;74847;CC;18/03/18;118;;;;;;
33297;11542;76285;CC;18/03/18;84;;;;;;
33298;10262;77692;CC;17/03/18;39;;;;;;
33299;10283;80149;CC;17/03/18;51;;;;;;
33300;10336;81998;CC;17/03/18;44;;;;;;
33301;10341;74201;CC;17/03/18;35;;;;;;
33302;10367;73450;CC;17/03/18;114;;;;;;
33303;10517;74932;CC;17/03/18;117;;;;;;
33304;10564;75283;CC;17/03/18;90;;;;;;
33305;10569;81080;CC;17/03/18;35;;;;;;
33306;10574;76090;CC;17/03/18;31;;;;;;
33307;10627;76224;CC;17/03/18;32;;;;;;
33308;10698;78692;CC;17/03/18;77;;;;;;
33309;10758;77202;CC;17/03/18;48;;;;;;
33310;10824;78727;CC;17/03/18;49;;;;;;
33311;10860;73467;CC;17/03/18;67;;;;;;
33312;11176;80632;TI;17/03/18;65;;;;;;
33313;11287;80472;CC;17/03/18;107;;;;;;
33314;11289;72513;CC;17/03/18;42;;;;;;
33315;11322;81357;CC;17/03/18;39;;;;;;
33316;11398;74010;CC;17/03/18;115;;;;;;
33317;11468;73007;CC;17/03/18;87;;;;;;
33318;11499;74830;CC;17/03/18;32;;;;;;
33319;11541;77027;CC;17/03/18;44;;;;;;
33320;10335;77846;CC;16/03/18;37;;;;;;
33321;10385;76522;CC;16/03/18;109;;;;;;
33322;10388;76075;CC;16/03/18;31;;;;;;
33323;10467;74329;CC;16/03/18;57;;;;;;
33324;10533;76317;CC;16/03/18;98;;;;;;
33325;10577;77770;CC;16/03/18;118;;;;;;
33326;10603;73039;CC;16/03/18;90;;;;;;
33327;10816;79651;CC;16/03/18;94;;;;;;
33328;10828;77978;CC;16/03/18;87;;;;;;
33329;10866;76122;CC;16/03/18;70;;;;;;
33330;10867;74791;CC;16/03/18;108;;;;;;
33331;10896;80760;CC;16/03/18;106;;;;;;
33332;10897;77657;CC;16/03/18;82;;;;;;
33333;10984;76251;CC;16/03/18;36;;;;;;
33334;10998;81363;CC;16/03/18;49;;;;;;
33335;11069;81442;CC;16/03/18;77;;;;;;
33336;11089;77087;CC;16/03/18;103;;;;;;
33337;11179;81911;CC;16/03/18;33;;;;;;
33338;11182;76575;CC;16/03/18;117;;;;;;
33339;11207;77023;CC;16/03/18;49;;;;;;
33340;11221;81365;CC;16/03/18;94;;;;;;
33341;11267;77109;CC;16/03/18;89;;;;;;
33342;11300;72277;CC;16/03/18;73;;;;;;
33343;11350;72478;CC;16/03/18;109;;;;;;
33344;11380;76136;CC;16/03/18;111;;;;;;
33345;11396;81829;CC;16/03/18;104;;;;;;
33346;11425;80588;CC;16/03/18;100;;;;;;
33347;11475;80342;CC;16/03/18;58;;;;;;
33348;10410;75695;CC;15/03/18;87;;;;;;
33349;10481;76901;CC;15/03/18;37;;;;;;
33350;10536;76763;CC;15/03/18;57;;;;;;
33351;10551;75569;CC;15/03/18;101;;;;;;
33352;10566;74674;CC;15/03/18;56;;;;;;
33353;10568;73034;CC;15/03/18;57;;;;;;
33354;10705;79227;CC;15/03/18;60;;;;;;
33355;10747;75686;CC;15/03/18;35;;;;;;
33356;10759;74082;CC;15/03/18;73;;;;;;
33357;10864;73883;CC;15/03/18;73;;;;;;
33358;10873;75672;CC;15/03/18;68;;;;;;
33359;10881;78397;CC;15/03/18;41;;;;;;
33360;10939;73175;CC;15/03/18;93;;;;;;
33361;10951;78825;CC;15/03/18;116;;;;;;
33362;10966;76406;CC;15/03/18;81;;;;;;
33363;10986;81268;CC;15/03/18;35;;;;;;
33364;11027;78792;CC;15/03/18;119;;;;;;
33365;11030;81632;CC;15/03/18;90;;;;;;
33366;11061;73651;CC;15/03/18;94;;;;;;
33367;11134;73960;CC;15/03/18;34;;;;;;
33368;11142;73956;CC;15/03/18;37;;;;;;
33369;11187;73519;CC;15/03/18;83;;;;;;
33370;11205;78208;CC;15/03/18;117;;;;;;
33371;11216;78126;CC;15/03/18;103;;;;;;
33372;11255;76950;CC;15/03/18;87;;;;;;
33373;11274;75560;CC;15/03/18;103;;;;;;
33374;11320;80660;CC;15/03/18;105;;;;;;
33375;11352;72787;CC;15/03/18;96;;;;;;
33376;11444;78366;CC;15/03/18;31;;;;;;
33377;10298;73211;CC;14/03/18;42;;;;;;
33378;10389;77699;CC;14/03/18;115;;;;;;
33379;10401;80197;CC;14/03/18;70;;;;;;
33380;10447;80225;CC;14/03/18;52;;;;;;
33381;10583;79250;CC;14/03/18;50;;;;;;
33382;10830;75565;CC;14/03/18;44;;;;;;
33383;10875;78935;CC;14/03/18;54;;;;;;
33384;10892;75318;CC;14/03/18;69;;;;;;
33385;10916;80079;CC;14/03/18;96;;;;;;
33386;10968;75027;CC;14/03/18;109;;;;;;
33387;11070;75820;CC;14/03/18;63;;;;;;
33388;11188;75956;CC;14/03/18;89;;;;;;
33389;11229;72189;CC;14/03/18;72;;;;;;
33390;11232;72477;CC;14/03/18;35;;;;;;
33391;11339;79036;CC;14/03/18;77;;;;;;
33392;11366;79993;CC;14/03/18;48;;;;;;
33393;11374;73738;CC;14/03/18;88;;;;;;
33394;11385;80032;CC;14/03/18;65;;;;;;
33395;11419;81859;CC;14/03/18;41;;;;;;
33396;11460;73068;CC;14/03/18;49;;;;;;
33397;10273;73884;CC;13/03/18;53;;;;;;
33398;10488;77896;CC;13/03/18;117;;;;;;
33399;10510;81361;CC;13/03/18;91;;;;;;
33400;10535;73012;CC;13/03/18;32;;;;;;
33401;10537;72980;CC;13/03/18;110;;;;;;
33402;10555;78795;CC;13/03/18;109;;;;;;
33403;10558;74632;CC;13/03/18;116;;;;;;
33404;10610;75476;CC;13/03/18;49;;;;;;
33405;10649;72671;CC;13/03/18;75;;;;;;
33406;10702;81495;CC;13/03/18;99;;;;;;
33407;10712;72709;CC;13/03/18;87;;;;;;
33408;10755;79019;CC;13/03/18;65;;;;;;
33409;10872;73800;CC;13/03/18;120;;;;;;
33410;11051;78945;CC;13/03/18;35;;;;;;
33411;11075;74449;CC;13/03/18;102;;;;;;
33412;11086;72100;CC;13/03/18;93;;;;;;
33413;11112;81326;CC;13/03/18;74;;;;;;
33414;11233;77695;CC;13/03/18;80;;;;;;
33415;11312;74682;CC;13/03/18;78;;;;;;
33416;11349;80874;CC;13/03/18;110;;;;;;
33417;11357;76760;CC;13/03/18;81;;;;;;
33418;11379;78178;CC;13/03/18;95;;;;;;
33419;11391;79430;CC;13/03/18;103;;;;;;
33420;11454;72733;CC;13/03/18;44;;;;;;
33421;11465;80343;CC;13/03/18;55;;;;;;
33422;11482;79307;CC;13/03/18;40;;;;;;
33423;11540;80319;CC;13/03/18;43;;;;;;
33424;10266;79799;CC;12/03/18;54;;;;;;
33425;10295;80898;CC;12/03/18;58;;;;;;
33426;10361;73279;CC;12/03/18;52;;;;;;
33427;10383;78899;CC;12/03/18;32;;;;;;
33428;10392;81545;CC;12/03/18;63;;;;;;
33429;10516;77900;CC;12/03/18;105;;;;;;
33430;10572;76210;CC;12/03/18;84;;;;;;
33431;10611;78893;CC;12/03/18;70;;;;;;
33432;10619;76614;CC;12/03/18;72;;;;;;
33433;10733;77257;CC;12/03/18;58;;;;;;
33434;10738;75365;CC;12/03/18;42;;;;;;
33435;10809;79527;CC;12/03/18;85;;;;;;
33436;10842;80570;CC;12/03/18;73;;;;;;
33437;10943;73935;CC;12/03/18;47;;;;;;
33438;10944;72271;CC;12/03/18;74;;;;;;
33439;10960;81670;CC;12/03/18;46;;;;;;
33440;11002;74757;CC;12/03/18;91;;;;;;
33441;11064;76337;CC;12/03/18;77;;;;;;
33442;11114;74922;CC;12/03/18;46;;;;;;
33443;11136;79303;CC;12/03/18;99;;;;;;
33444;11175;78514;CC;12/03/18;55;;;;;;
33445;11194;81142;CC;12/03/18;58;;;;;;
33446;11206;73502;CC;12/03/18;68;;;;;;
33447;11292;76635;CC;12/03/18;119;;;;;;
33448;11451;80310;CC;12/03/18;84;;;;;;
33449;11523;81746;CC;12/03/18;91;;;;;;
33450;11537;74523;CC;12/03/18;68;;;;;;
33451;11551;77858;CC;12/03/18;94;;;;;;
33452;10290;72447;CC;11/03/18;53;;;;;;
33453;10436;79460;CC;11/03/18;32;;;;;;
33454;10513;76542;CC;11/03/18;46;;;;;;
33455;10670;78398;CC;11/03/18;81;;;;;;
33456;10708;81875;CC;11/03/18;63;;;;;;
33457;10724;79696;CC;11/03/18;104;;;;;;
33458;10806;72852;CC;11/03/18;75;;;;;;
33459;10888;75086;CC;11/03/18;80;;;;;;
33460;10923;76679;CC;11/03/18;54;;;;;;
33461;10942;79725;CC;11/03/18;34;;;;;;
33462;10953;79351;CC;11/03/18;85;;;;;;
33463;10993;81455;CC;11/03/18;69;;;;;;
33464;11092;80430;CC;11/03/18;83;;;;;;
33465;11111;75853;CC;11/03/18;85;;;;;;
33466;11122;77940;CC;11/03/18;95;;;;;;
33467;11481;77970;CC;11/03/18;44;;;;;;
33468;11496;81453;CC;11/03/18;31;;;;;;
33469;11553;75414;CC;11/03/18;68;;;;;;
33470;10324;80913;CC;10/03/18;51;;;;;;
33471;10391;81101;CC;10/03/18;52;;;;;;
33472;10439;76674;CC;10/03/18;119;;;;;;
33473;10472;78597;CC;10/03/18;68;;;;;;
33474;10515;80520;CC;10/03/18;79;;;;;;
33475;10588;78144;CC;10/03/18;58;;;;;;
33476;10669;81332;CC;10/03/18;104;;;;;;
33477;10722;74752;CC;10/03/18;38;;;;;;
33478;10791;77513;CC;10/03/18;57;;;;;;
33479;10797;75311;CC;10/03/18;80;;;;;;
33480;10987;81750;CC;10/03/18;108;;;;;;
33481;11011;78455;CC;10/03/18;65;;;;;;
33482;11110;81477;CC;10/03/18;72;;;;;;
33483;11135;78235;CC;10/03/18;65;;;;;;
33484;11137;78886;CC;10/03/18;89;;;;;;
33485;11152;75178;CC;10/03/18;75;;;;;;
33486;11160;79628;CC;10/03/18;92;;;;;;
33487;11195;74113;CC;10/03/18;34;;;;;;
33488;11203;80869;CC;10/03/18;68;;;;;;
33489;11204;74219;CC;10/03/18;89;;;;;;
33490;11208;78202;CC;10/03/18;113;;;;;;
33491;11237;72106;CC;10/03/18;86;;;;;;
33492;11413;77775;CC;10/03/18;50;;;;;;
33493;11466;80774;CC;10/03/18;63;;;;;;
33494;11544;73282;CC;10/03/18;59;;;;;;
33495;10268;81312;CC;9/03/18;32;;;;;;
33496;10364;75267;CC;9/03/18;116;;;;;;
33497;10550;76443;CC;9/03/18;81;;;;;;
33498;10573;80647;CC;9/03/18;46;;;;;;
33499;10613;78670;CC;9/03/18;34;;;;;;
33500;10682;76561;CC;9/03/18;100;;;;;;
33501;10717;81491;CC;9/03/18;101;;;;;;
33502;10732;72386;CC;9/03/18;113;;;;;;
33503;10902;80304;CC;9/03/18;46;;;;;;
33504;10928;76799;CC;9/03/18;70;;;;;;
33505;11087;77617;CC;9/03/18;49;;;;;;
33506;11108;72239;CC;9/03/18;32;;;;;;
33507;11172;75136;CC;9/03/18;40;;;;;;
33508;11406;73816;CC;9/03/18;81;;;;;;
33509;11424;73326;CC;9/03/18;96;;;;;;
33510;11480;77073;CC;9/03/18;57;;;;;;
33511;10331;80589;CC;8/03/18;31;;;;;;
33512;10332;73196;CC;8/03/18;51;;;;;;
33513;10511;80807;CC;8/03/18;113;;;;;;
33514;10618;80077;CC;8/03/18;72;;;;;;
33515;10622;72505;CC;8/03/18;100;;;;;;
33516;10660;76395;CC;8/03/18;86;;;;;;
33517;10789;76160;CC;8/03/18;38;;;;;;
33518;10912;72240;CC;8/03/18;78;;;;;;
33519;10946;81145;CC;8/03/18;33;;;;;;
33520;10970;73583;CC;8/03/18;41;;;;;;
33521;10971;73834;CC;8/03/18;37;;;;;;
33522;11005;79370;CC;8/03/18;109;;;;;;
33523;11163;81213;CC;8/03/18;37;;;;;;
33524;11231;80431;CC;8/03/18;39;;;;;;
33525;11241;81331;CC;8/03/18;92;;;;;;
33526;11276;75900;CC;8/03/18;31;;;;;;
33527;11375;73294;CC;8/03/18;84;;;;;;
33528;11450;79904;CC;8/03/18;39;;;;;;
33529;11472;81297;CC;8/03/18;81;;;;;;
33530;10280;77099;CC;7/03/18;31;;;;;;
33531;10303;78868;CC;7/03/18;54;;;;;;
33532;10304;80855;CC;7/03/18;40;;;;;;
33533;10316;73548;CC;7/03/18;52;;;;;;
