NUMRESERVA;IDALOJAMIENTO;IDMIEMBRO;TIPOID;DIARESERVA;TIEMPODIAS
16003;4863;98566;CC;20/03/18;7
16004;4864;101526;CC;24/03/18;4
16005;4865;101791;CE;27/03/18;3
16006;4866;100212;CE;27/02/18;4
16007;4867;94148;CE;28/03/18;3
16008;4868;98249;CC;24/03/18;3
16009;4869;100717;CE;17/02/18;4
16010;4870;102633;CE;3/02/18;7
16011;4871;94737;CE;1/03/18;4
16012;4872;96202;CE;3/02/18;6
16013;4873;101084;CC;13/02/18;7
16014;4874;94091;CC;17/03/18;3
16015;4875;98692;CC;7/02/18;10
16016;4876;98106;CC;2/02/18;1
16017;4877;94341;CE;8/02/18;9
16018;4878;100896;CE;19/03/18;8
16019;4879;100086;CE;12/02/18;6
16020;4880;100502;CC;11/02/18;10
16021;4881;96983;CC;17/02/18;2
16022;4882;94254;CE;7/03/18;10
16023;4883;101624;CE;12/03/18;2
16024;4884;96547;CE;2/02/18;10
16025;4885;93894;CE;19/03/18;4
16026;4886;103182;CE;5/02/18;7
16027;4887;100836;CC;7/02/18;7
16028;4888;94575;CE;22/02/18;5
16029;4889;103430;CC;20/02/18;1
16030;4890;98064;CE;28/03/18;2
16031;4891;94789;CC;23/02/18;8
16032;4892;102119;CC;22/03/18;8
16033;4893;93765;CE;25/03/18;6
16034;4894;101967;CC;30/03/18;7
16035;4895;100907;CE;7/02/18;8
16036;4896;95584;CC;31/03/18;8
16037;4897;103311;CC;12/03/18;1
16038;4898;93818;CC;27/03/18;9
16039;4899;97437;CE;2/02/18;5
16040;4900;99376;TI;12/02/18;4
16041;4901;95376;CC;24/03/18;2
16042;4902;101119;CE;21/02/18;2
16043;4903;96007;CC;2/02/18;3
16044;4904;96750;CC;7/02/18;7
16045;4905;102182;CE;1/02/18;8
16046;4906;98143;CC;3/02/18;10
16047;4907;97858;CE;10/03/18;2
16048;4908;95294;CC;17/03/18;4
16049;4909;96373;CE;13/03/18;10
16050;4910;95707;CE;26/02/18;2
16051;4911;102397;CE;20/02/18;6
16052;4912;96285;CC;25/03/18;7
16053;4913;100617;CE;5/03/18;4
16054;4914;94190;CC;6/02/18;9
16055;4915;99279;CC;3/03/18;3
16056;4916;96928;CE;10/02/18;2
16057;4917;100362;CE;6/03/18;1
16058;4918;101182;CE;5/03/18;4
16059;4919;98907;CC;6/02/18;1
16060;4920;94557;CC;4/03/18;6
16061;4921;99142;CC;19/02/18;6
16062;4922;96981;CC;27/03/18;1
16063;4923;101859;CC;5/03/18;6
16064;4924;102453;CC;4/02/18;1
16065;4925;99715;CE;4/03/18;4
16066;4926;96075;CE;5/03/18;7
16067;4927;94517;CC;28/03/18;6
16068;4928;102472;CC;20/03/18;5
16069;4929;99890;CC;31/03/18;6
16070;4930;97488;CC;7/03/18;5
16071;4931;102596;CC;5/03/18;2
16072;4932;102916;CE;6/02/18;5
16073;4933;99806;CE;26/03/18;7
16074;4934;98294;CE;26/02/18;8
16075;4935;102246;CC;28/03/18;1
16076;4936;96165;CC;12/02/18;10
16077;4937;94997;TI;25/03/18;2
16078;4938;102947;CE;4/02/18;4
16079;4939;94397;CC;17/02/18;3
16080;4940;98791;CC;11/03/18;1
16081;4941;98244;CC;18/03/18;10
16082;4942;96273;CE;10/03/18;6
16083;4943;103297;CE;27/03/18;1
16084;4944;98042;CC;10/02/18;7
16085;4945;94116;CC;6/02/18;4
16086;4946;103418;CC;10/02/18;8
16087;4947;96671;CE;6/02/18;6
16088;4948;96501;CE;29/03/18;7
16089;4949;98489;CE;6/03/18;6
16090;4950;102180;CC;17/03/18;7
16091;4951;99525;CE;22/03/18;5
16092;4952;101564;CE;6/03/18;9
16093;4953;99434;CE;22/02/18;1
16094;4954;94783;CC;10/03/18;6
16095;4955;94838;CC;4/03/18;10
16096;4956;98972;CE;19/02/18;8
16097;4957;94247;CC;14/03/18;10
16098;4958;102678;CE;21/02/18;2
16099;4959;99933;CC;14/02/18;4
16100;4960;94580;CE;28/02/18;4
16101;4961;94248;CE;14/02/18;8
16102;4962;93845;CE;5/02/18;2
16103;4963;94093;CE;24/03/18;3
16104;4964;100299;CC;11/02/18;5
16105;4965;97717;CE;10/03/18;8
16106;4966;102049;CC;26/02/18;7
16107;4967;101101;CE;8/03/18;5
16108;4968;93534;CE;24/02/18;10
16109;4969;94696;CE;20/03/18;5
16110;4970;96048;CC;10/03/18;2
16111;4971;94439;CE;7/02/18;6
16112;4972;101660;CE;16/02/18;5
16113;4973;101307;CE;2/02/18;8
16114;4974;98829;CE;27/03/18;1
16115;4975;103275;CE;25/03/18;3
16116;4976;102780;CC;19/03/18;8
16117;4977;100943;CE;16/03/18;3
16118;4978;96589;CC;25/03/18;1
16119;4979;94724;CC;6/02/18;4
16120;4980;95204;CE;3/03/18;3
16121;4981;93812;CC;1/02/18;9
16122;4982;96017;CE;18/03/18;8
16123;4983;101015;CE;22/02/18;3
16124;4984;97064;CC;9/03/18;9
16125;4985;102461;CC;3/02/18;10
16126;4986;94577;CC;10/02/18;10
16127;4987;97505;CE;4/03/18;10
16128;4988;99375;CC;31/03/18;5
16129;4989;96743;CC;18/02/18;1
16130;4990;98626;CC;13/03/18;1
16131;4991;100171;TI;22/02/18;4
16132;4992;99201;CE;12/02/18;4
16133;4993;99127;CC;8/02/18;1
16134;4994;97193;CE;22/02/18;2
16135;4995;101554;CC;27/02/18;2
16136;4996;94052;CC;26/03/18;9
16137;4997;96803;CE;1/03/18;2
16138;4998;99650;CE;19/03/18;9
16139;4999;96408;CC;21/03/18;9
16140;5000;101390;CE;16/03/18;6
16141;5001;96044;CE;10/02/18;8
16142;5002;97334;CE;24/03/18;1
16143;5003;99832;CC;24/02/18;7
16144;5004;101944;CE;13/02/18;10
16145;5005;101332;CC;5/03/18;6
16146;5006;96140;CC;27/02/18;1
16147;5007;95019;CC;14/02/18;9
16148;5008;93574;CC;6/03/18;3
16149;5009;102345;CC;20/02/18;6
16150;5010;97308;CE;16/03/18;8
16151;5011;95347;CE;10/02/18;10
16152;5012;94224;CE;27/02/18;2
16153;5013;98582;CE;17/02/18;1
16154;5014;97420;CE;6/02/18;8
16155;5015;94530;CC;14/03/18;2
16156;5016;99479;CE;16/02/18;5
16157;5017;95090;CE;13/03/18;9
16158;5018;102870;CC;2/03/18;9
16159;5019;97450;CC;6/02/18;9
16160;5020;101315;CC;10/03/18;6
16161;5021;97780;CC;6/02/18;6
16162;5022;93882;CC;21/03/18;7
16163;5023;95326;CE;9/02/18;8
16164;5024;102473;CC;5/03/18;2
16165;5025;96137;CC;16/02/18;8
16166;5026;97408;CC;12/03/18;9
16167;5027;102440;CE;10/02/18;8
16168;5028;99106;CE;2/03/18;6
16169;5029;101943;CE;1/02/18;8
16170;5030;97647;CC;29/03/18;3
16171;5031;97943;CC;18/02/18;1
16172;5032;100719;CE;24/02/18;5
16173;5033;97689;CE;28/03/18;6
16174;5034;98547;CE;10/03/18;2
16175;5035;95199;CC;6/03/18;10
16176;5036;103183;CE;12/03/18;2
16177;5037;96789;CE;8/03/18;3
16178;5038;98584;CE;16/03/18;4
16179;5039;99646;CC;23/02/18;1
16180;5040;95156;CC;28/02/18;1
16181;5041;94520;CE;1/02/18;4
16182;5042;97989;CE;17/03/18;10
16183;5043;97359;CE;2/03/18;3
16184;5044;99857;CE;25/02/18;10
16185;5045;103035;CE;12/03/18;5
16186;5046;95022;CC;25/03/18;10
16187;5047;99021;CE;15/03/18;7
16188;5048;98000;CE;2/02/18;5
16189;5049;101256;CE;18/02/18;9
16190;5050;103416;CC;28/02/18;9
16191;5051;102731;CE;3/02/18;10
16192;5052;99056;CE;25/03/18;3
16193;5053;99108;CE;13/02/18;9
16194;5054;98211;CC;8/03/18;5
16195;5055;93929;CE;15/02/18;4
16196;5056;102753;CC;3/03/18;10
16197;5057;95013;CE;10/02/18;4
16198;5058;103175;CE;12/02/18;1
16199;5059;100155;CE;1/02/18;2
16200;5060;101547;CC;23/02/18;1
16201;5061;98329;CE;23/03/18;3
16202;5062;93661;CC;21/03/18;2
16203;5063;100245;CE;23/02/18;3
16204;5064;100397;CC;1/03/18;5
16205;5065;98447;CC;5/02/18;1
16206;5066;95564;CC;14/02/18;2
16207;5067;93569;CE;28/02/18;10
16208;5068;94626;CE;23/02/18;9
16209;5069;98400;CC;6/02/18;5
16210;5070;98916;CC;11/02/18;4
16211;5071;101082;CE;12/03/18;4
16212;5072;96909;CE;11/02/18;4
16213;5073;93815;CC;30/03/18;6
16214;5074;98595;CC;3/03/18;3
16215;5075;102858;CE;13/02/18;6
16216;5076;102594;CE;12/03/18;7
16217;5077;101216;CE;13/03/18;8
16218;5078;95823;CE;10/03/18;10
16219;5079;95193;CE;5/03/18;8
16220;5080;98630;CE;2/02/18;2
16221;5081;97287;CC;1/02/18;10
16222;5082;99468;CC;27/03/18;9
16223;5083;101861;CE;10/02/18;4
16224;5084;94054;CC;6/02/18;8
16225;5085;100706;CE;4/03/18;5
16226;5086;94380;CE;3/03/18;2
16227;5087;100580;CE;2/03/18;10
16228;5088;97237;CE;23/03/18;10
16229;5089;97659;CE;29/03/18;2
16230;5090;99241;CE;6/02/18;5
16231;5091;102698;CE;3/03/18;2
16232;5092;102253;CE;31/03/18;5
16233;5093;94636;CC;6/02/18;10
16234;5094;102315;CE;26/02/18;5
16235;5095;93982;CC;2/02/18;6
16236;5096;94677;CE;11/02/18;10
16237;5097;102318;CE;18/03/18;3
16238;5098;102274;CE;23/02/18;2
16239;5099;99043;CE;22/03/18;6
16240;5100;96367;CE;13/02/18;9
16241;5101;97299;CE;7/02/18;6
16242;5102;100481;CE;27/03/18;9
16243;5103;102451;CC;10/03/18;1
16244;5104;103346;CE;1/03/18;4
16245;5105;103217;CE;9/02/18;10
16246;5106;97081;CC;22/03/18;8
16247;5107;102542;CC;19/02/18;4
16248;5108;101334;TI;12/03/18;5
16249;5109;99151;CE;29/03/18;5
16250;5110;96124;CE;7/03/18;6
16251;5111;98191;CC;13/03/18;4
16252;5112;99125;CE;23/02/18;3
16253;5113;96442;CE;23/03/18;9
16254;5114;95475;CC;23/03/18;6
16255;5115;97952;CC;1/03/18;3
16256;5116;94298;CC;21/03/18;3
16257;5117;96385;CC;8/03/18;2
16258;5118;101540;CC;10/03/18;3
16259;5119;95595;CE;26/03/18;3
16260;5120;93591;CC;10/02/18;4
16261;5121;94407;CE;21/02/18;6
16262;5122;101982;CC;2/03/18;6
16263;5123;93758;CC;18/03/18;5
16264;5124;101153;CE;9/02/18;2
16265;5125;94373;CE;17/02/18;4
16266;5126;95448;CC;24/02/18;4
16267;5127;99319;CC;28/03/18;4
16268;5128;93919;CC;7/02/18;1
16269;5129;103314;CC;16/03/18;2
16270;5130;98396;CC;2/02/18;2
16271;5131;96921;CE;24/03/18;9
16272;5132;99721;CE;3/02/18;9
16273;5133;101068;CC;17/02/18;1
16274;5134;103073;CC;11/03/18;2
16275;5135;99334;CC;21/03/18;10
16276;5136;93458;CE;28/02/18;9
16277;5137;100795;CE;20/03/18;2
16278;5138;98320;CC;27/02/18;2
16279;5139;100674;CC;27/02/18;1
16280;5140;96092;CC;29/03/18;8
16281;5141;100207;CC;6/02/18;10
16282;5142;97810;CC;7/02/18;8
16283;5143;94885;CC;7/02/18;2
16284;5144;93780;CC;1/03/18;5
16285;5145;101423;CC;11/03/18;10
16286;5146;97471;CE;25/02/18;3
16287;5147;101486;CC;24/02/18;2
16288;5148;96689;TI;18/03/18;6
16289;5149;95080;CE;6/03/18;6
16290;5150;96943;CC;21/02/18;4
16291;5151;94117;CE;9/03/18;3
16292;5152;101586;CC;29/03/18;10
16293;5153;96563;CE;12/03/18;1
16294;5154;102851;CC;22/03/18;9
16295;5155;102597;CC;19/03/18;9
16296;5156;97595;CC;10/02/18;8
16297;5157;93517;CC;23/02/18;9
16298;5158;101760;CE;15/02/18;4
16299;5159;99967;CE;16/03/18;3
16300;5160;96051;CC;19/02/18;9
16301;5161;93625;CE;8/02/18;5
16302;5162;98741;CE;30/03/18;6
16303;5163;101300;CC;5/03/18;7
16304;5164;95058;CC;22/03/18;9
16305;5165;99204;CC;4/02/18;5
16306;5166;100582;CE;18/02/18;1
16307;5167;99944;CE;14/03/18;8
16308;5168;97076;TI;16/03/18;9
16309;5169;93595;CC;16/02/18;6
16310;5170;94760;CC;19/02/18;5
16311;5171;94481;CE;15/03/18;4
16312;5172;94650;CE;19/03/18;7
16313;5173;95323;CE;5/03/18;5
16314;5174;96824;CE;2/03/18;5
16315;5175;100957;CE;3/03/18;3
16316;5176;95573;CE;29/03/18;7
16317;5177;96028;CC;5/03/18;6
16318;5178;94729;CC;21/02/18;1
16319;5179;102337;CE;25/02/18;5
16320;5180;103431;CC;16/03/18;1
16321;5181;94242;CC;3/03/18;1
16322;5182;100970;CC;2/03/18;2
16323;5183;94775;CE;3/02/18;5
16324;5184;96186;TI;17/02/18;4
16325;5185;95046;CE;1/03/18;7
16326;5186;95881;CE;21/03/18;8
16327;5187;95435;CE;22/02/18;4
16328;5188;99411;CE;13/02/18;2
16329;5189;102172;CE;23/03/18;4
16330;5190;96542;CC;9/03/18;2
16331;5191;98560;CE;19/03/18;1
16332;5192;100438;CC;1/02/18;8
16333;5193;102723;CE;29/03/18;3
16334;5194;97395;CC;1/03/18;5
16335;5195;102692;CE;7/02/18;1
16336;5196;96899;CC;1/03/18;5
16337;5197;95249;CC;7/03/18;4
16338;5198;97341;CC;1/02/18;4
16339;5199;100469;CC;7/02/18;5
16340;5200;93753;CE;23/02/18;2
16341;5201;101032;CC;15/02/18;5
16342;5202;101520;CC;15/02/18;10
16343;5203;102418;CE;11/03/18;2
16344;5204;102278;CE;10/02/18;9
16345;5205;96648;CE;23/02/18;2
16346;5206;93777;CC;4/03/18;1
16347;5207;100749;CC;28/02/18;7
16348;5208;102181;CC;28/02/18;10
16349;5209;96725;CC;28/02/18;1
16350;5210;101849;CE;10/02/18;7
16351;5211;102951;CC;7/03/18;3
16352;5212;103246;CC;8/03/18;5
16353;5213;95851;CE;3/02/18;8
16354;5214;101867;CC;16/03/18;2
16355;5215;94013;CE;13/02/18;3
16356;5216;97432;CE;21/03/18;9
16357;5217;94319;CE;31/03/18;5
16358;5218;98228;CE;6/03/18;4
16359;5219;101488;CE;5/02/18;6
16360;5220;98797;CE;27/03/18;1
16361;5221;94049;CC;26/03/18;7
16362;5222;97146;CE;24/02/18;7
16363;5223;96557;CE;11/02/18;3
16364;5224;102600;CC;11/02/18;9
16365;5225;99499;CC;3/02/18;5
16366;5226;94144;CC;22/03/18;4
16367;5227;98112;CC;24/02/18;7
16368;5228;102631;CC;18/02/18;5
16369;5229;99870;CE;7/02/18;8
16370;5230;96246;TI;13/03/18;8
16371;5231;97508;CC;26/02/18;9
16372;5232;96294;CE;18/03/18;2
16373;5233;94256;CC;28/02/18;3
16374;5234;101747;CC;21/02/18;5
16375;5235;103233;CE;6/03/18;1
16376;5236;99700;CC;17/03/18;5
16377;5237;94690;CC;20/03/18;3
16378;5238;95255;CC;2/02/18;4
16379;5239;97304;CC;7/02/18;6
16380;5240;97307;CE;26/03/18;5
16381;5241;98938;CC;11/02/18;7
16382;5242;96107;CE;15/02/18;7
16383;5243;94056;CC;12/02/18;5
16384;5244;95133;CE;23/02/18;3
16385;5245;103071;CE;9/03/18;5
16386;5246;96606;CC;3/03/18;9
16387;5247;101755;CE;18/03/18;4
16388;5248;97603;CC;7/02/18;9
16389;5249;101220;CE;2/03/18;5
16390;5250;99649;CE;14/03/18;9
16391;5251;103113;CE;2/03/18;1
16392;5252;96020;CC;12/03/18;8
16393;5253;102156;CC;9/03/18;8
16394;5254;93492;CC;8/03/18;1
16395;5255;98671;CC;2/03/18;6
16396;5256;100909;CE;6/03/18;8
16397;5257;96738;CC;6/02/18;9
16398;5258;94519;CE;6/03/18;10
16399;5259;94712;CC;18/03/18;7
16400;5260;100148;CC;6/02/18;9
16401;4761;95175;CE;6/03/19;3
16402;4762;102392;CE;18/03/19;7
16403;4763;99826;CC;3/03/19;7
16404;4764;101035;CC;19/02/19;7
16405;4765;98900;CE;14/02/19;2
16406;4766;96236;CC;8/03/19;2
16407;4767;103047;CE;25/02/19;10
16408;4768;96482;CE;6/02/19;2
16409;4769;102630;CE;25/03/19;3
16410;4770;96313;CE;28/02/19;1
16411;4771;96047;CC;31/03/19;9
16412;4772;99054;CE;7/03/19;2
16413;4773;99819;CC;19/02/19;9
16414;4774;99168;CE;31/03/19;3
16415;4775;102721;CC;8/02/19;8
16416;4776;101413;CC;11/02/19;9
16417;4777;102037;CE;30/03/19;1
16418;4778;99046;CC;4/02/19;10
16419;4779;98530;CE;25/03/19;7
16420;4780;96693;CE;14/02/19;8
16421;4781;95923;CE;13/02/19;6
16422;4782;102030;CE;8/02/19;8
16423;4783;95256;CC;4/03/19;4
16424;4784;94344;CC;12/02/19;5
16425;4785;96219;CE;12/02/19;7
16426;4786;94275;TI;10/03/19;10
16427;4787;100584;CE;27/03/19;4
16428;4788;95274;CC;1/03/19;6
16429;4789;93991;CE;7/03/19;8
16430;4790;103224;CC;19/03/19;10
16431;4791;99324;CC;27/02/19;3
16432;4792;103243;CE;15/02/19;2
16433;4793;95185;CE;6/03/19;9
16434;4794;94126;CE;10/02/19;9
16435;4795;97751;CC;26/03/19;6
16436;4796;94776;CE;14/02/19;4
16437;4797;94970;CE;30/03/19;9
16438;4798;102658;CE;15/02/19;6
16439;4799;96700;CE;10/03/19;9
16440;4800;97817;CC;13/02/19;6
16441;4801;99382;CE;17/03/19;4
16442;4802;99170;CC;29/03/19;3
16443;4803;94998;CE;23/02/19;8
16444;4804;102885;CC;18/03/19;4
16445;4805;95672;CC;9/02/19;7
16446;4806;103094;CE;24/03/19;6
16447;4807;100136;TI;12/02/19;9
16448;4808;94055;CE;17/03/19;7
16449;4809;96683;CC;22/03/19;9
16450;4810;98405;CC;15/02/19;6
16451;4811;95371;CE;13/02/19;7
16452;4812;98482;CC;16/02/19;9
16453;4813;96227;CC;17/03/19;2
16454;4814;99602;CE;10/03/19;5
16455;4815;102366;CE;6/02/19;4
16456;4816;93830;CC;9/03/19;2
16457;4817;99895;CC;31/03/19;2
16458;4818;102483;CE;10/02/19;1
16459;4819;102938;CE;2/02/19;9
16460;4820;100436;CE;10/02/19;10
16461;4821;99820;CC;16/02/19;4
16462;4822;97951;CC;17/02/19;6
16463;4823;99389;CE;16/03/19;1
16464;4824;93725;CC;16/03/19;2
16465;4825;99795;CE;25/03/19;5
16466;4826;102394;CE;27/02/19;8
16467;4827;94410;CE;17/03/19;4
16468;4828;95984;CE;14/03/19;10
16469;4829;96917;CC;5/03/19;5
16470;4830;98779;CC;13/03/19;10
16471;4831;97701;CC;13/02/19;3
16472;4832;101532;CE;8/03/19;4
16473;4833;93756;CC;8/02/19;4
16474;4834;102983;CE;6/03/19;4
16475;4835;100831;CC;19/03/19;9
16476;4836;101013;CC;24/03/19;10
16477;4837;97333;CC;2/02/19;6
16478;4838;94348;CC;2/02/19;8
16479;4839;94026;CC;17/03/19;3
16480;4840;96555;CE;28/03/19;6
16481;4841;103017;CC;27/03/19;6
16482;4842;97974;CE;18/03/19;6
16483;4843;100775;CE;28/02/19;3
16484;4844;97170;CE;3/03/19;10
16485;4845;99171;CE;15/02/19;2
16486;4846;94208;CC;18/03/19;4
16487;4847;94699;CC;23/03/19;6
16488;4848;94366;CC;4/02/19;4
16489;4849;101581;CE;3/03/19;4
16490;4850;102043;CC;2/02/19;8
16491;4851;96430;TI;2/02/19;6
16492;4852;102013;CE;14/02/19;10
16493;4853;102945;CC;20/02/19;10
16494;4854;101359;CE;23/03/19;1
16495;4855;99776;CE;8/02/19;2
16496;4856;101100;CE;14/03/19;9
16497;4857;94203;CE;12/02/19;4
16498;4858;94687;CC;21/03/19;6
16499;4859;98443;CE;28/02/19;3
16500;4860;95413;CC;31/03/19;10
16501;4861;101947;CE;15/03/19;6
16502;4862;99891;CE;18/03/19;4
16503;4863;98566;CC;26/02/19;8
16504;4864;101526;CC;23/03/19;2
16505;4865;101791;CE;1/02/19;9
16506;4866;100212;CE;19/03/19;2
16507;4867;94148;CE;1/03/19;2
16508;4868;98249;CC;24/02/19;7
16509;4869;100717;CE;22/03/19;9
16510;4870;102633;CE;12/02/19;7
16511;4871;94737;CE;12/03/19;3
16512;4872;96202;CE;6/03/19;6
16513;4873;101084;CC;20/02/19;6
16514;4874;94091;CC;9/03/19;4
16515;4875;98692;CC;5/02/19;10
16516;4876;98106;CC;9/03/19;7
16517;4877;94341;CE;22/03/19;1
16518;4878;100896;CE;22/03/19;7
16519;4879;100086;CE;5/03/19;7
16520;4880;100502;CC;6/03/19;4
16521;4881;96983;CC;19/03/19;8
16522;4882;94254;CE;16/03/19;10
16523;4883;101624;CE;6/03/19;3
16524;4884;96547;CE;15/03/19;6
16525;4885;93894;CE;19/03/19;8
16526;4886;103182;CE;15/02/19;2
16527;4887;100836;CC;23/02/19;8
16528;4888;94575;CE;11/02/19;1
16529;4889;103430;CC;6/02/19;1
16530;4890;98064;CE;19/02/19;7
16531;4891;94789;CC;3/02/19;10
16532;4892;102119;CC;4/02/19;8
16533;4893;93765;CE;10/02/19;4
16534;4894;101967;CC;21/03/19;3
16535;4895;100907;CE;30/03/19;5
16536;4896;95584;CC;22/03/19;9
16537;4897;103311;CC;25/03/19;2
16538;4898;93818;CC;16/02/19;5
16539;4899;97437;CE;22/03/19;4
16540;4900;99376;TI;11/03/19;8
16541;4901;95376;CC;27/03/19;3
16542;4902;101119;CE;11/02/19;10
16543;4903;96007;CC;26/03/19;8
16544;4904;96750;CC;12/03/19;7
16545;4905;102182;CE;19/03/19;8
16546;4906;98143;CC;11/03/19;1
16547;4907;97858;CE;13/02/19;7
16548;4908;95294;CC;19/02/19;9
16549;4909;96373;CE;19/02/19;10
16550;4910;95707;CE;24/02/19;8
16551;4911;102397;CE;17/02/19;1
16552;4912;96285;CC;8/03/19;4
16553;4913;100617;CE;2/02/19;2
16554;4914;94190;CC;21/02/19;3
16555;4915;99279;CC;17/03/19;7
16556;4916;96928;CE;7/02/19;6
16557;4917;100362;CE;19/03/19;4
16558;4918;101182;CE;18/03/19;3
16559;4919;98907;CC;8/03/19;2
16560;4920;94557;CC;26/03/19;6
16561;4921;99142;CC;11/03/19;7
16562;4922;96981;CC;12/02/19;4
16563;4923;101859;CC;4/03/19;3
16564;4924;102453;CC;27/02/19;7
16565;4925;99715;CE;23/02/19;3
16566;4926;96075;CE;4/03/19;3
16567;4927;94517;CC;9/02/19;6
16568;4928;102472;CC;7/02/19;1
16569;4929;99890;CC;13/03/19;1
16570;4930;97488;CC;15/03/19;6
16571;4931;102596;CC;3/02/19;10
16572;4932;102916;CE;19/03/19;10
16573;4933;99806;CE;21/03/19;3
16574;4934;98294;CE;6/03/19;2
16575;4935;102246;CC;23/02/19;6
16576;4936;96165;CC;29/03/19;7
16577;4937;94997;TI;19/03/19;7
16578;4938;102947;CE;11/02/19;3
16579;4939;94397;CC;6/03/19;10
16580;4940;98791;CC;7/03/19;6
16581;4941;98244;CC;7/02/19;9
16582;4942;96273;CE;8/02/19;2
16583;4943;103297;CE;26/02/19;10
16584;4944;98042;CC;21/02/19;5
16585;4945;94116;CC;31/03/19;3
16586;4946;103418;CC;13/03/19;6
16587;4947;96671;CE;11/03/19;9
16588;4948;96501;CE;1/02/19;1
16589;4949;98489;CE;9/03/19;7
16590;4950;102180;CC;25/03/19;7
16591;4951;99525;CE;5/03/19;1
16592;4952;101564;CE;13/02/19;9
16593;4953;99434;CE;23/02/19;1
16594;4954;94783;CC;26/03/19;4
