IDALOJAMIENTO,DIRECCION,NUMHABITACION,TIPOHABITACION,TIPOOPHAB
1808,6781 Mallory Court,6878,Compartida,ViviendaUniv
1809,19169 Talmadge Hill,0566,Compartida,ViviendaUniv
1810,7 Golf Pass,00939,Compartida,ViviendaUniv
1811,2 Arizona Circle,3,Compartida,ViviendaUniv
1812,4 Fair Oaks Parkway,1735,Compartida,ViviendaUniv
1813,43551 Holy Cross Place,7,Compartida,ViviendaUniv
1814,7 Holy Cross Court,50485,Compartida,ViviendaUniv
1815,5852 East Way,468,Compartida,ViviendaUniv
1816,345 Petterle Terrace,93,Compartida,ViviendaUniv
1817,764 Mandrake Place,50,Compartida,ViviendaUniv
1818,695 Dakota Plaza,379,Compartida,ViviendaUniv
1819,136 Rigney Road,146,Compartida,ViviendaUniv
1820,297 Doe Crossing Point,7,Compartida,ViviendaUniv
1821,348 Nancy Center,814,Compartida,ViviendaUniv
1822,72725 Little Fleur Lane,05,Compartida,ViviendaUniv
1823,625 Ludington Plaza,6168,Compartida,ViviendaUniv
1824,5383 La Follette Way,3,Compartida,ViviendaUniv
1825,1 Arapahoe Pass,904,Compartida,ViviendaUniv
1826,336 Hoepker Terrace,3,Compartida,ViviendaUniv
1827,08456 Schlimgen Crossing,11003,Compartida,ViviendaUniv
1828,4039 Acker Place,52941,Compartida,ViviendaUniv
1829,15 Hoepker Trail,11,Compartida,ViviendaUniv
1830,84891 Merrick Court,3746,Compartida,ViviendaUniv
1831,4 Gina Lane,53275,Compartida,ViviendaUniv
1832,2695 Vahlen Hill,63,Compartida,ViviendaUniv
1833,762 Del Sol Road,87,Compartida,ViviendaUniv
1834,48 Beilfuss Circle,5475,Compartida,ViviendaUniv
1835,7097 Lakeland Center,3,Compartida,ViviendaUniv
1836,3 Nova Way,15023,Compartida,ViviendaUniv
1837,07452 Upham Crossing,6,Compartida,ViviendaUniv
1838,0556 Lindbergh Place,3,Compartida,ViviendaUniv
1839,9 Lyons Hill,8,Compartida,ViviendaUniv
1840,5 Spaight Crossing,77,Compartida,ViviendaUniv
1841,4122 Kennedy Court,3,Compartida,ViviendaUniv
1842,113 Lerdahl Road,74,Compartida,ViviendaUniv
1843,8 Mariners Cove Avenue,78,Compartida,ViviendaUniv
1844,713 Lake View Avenue,0931,Compartida,ViviendaUniv
1845,33 School Parkway,2,Compartida,ViviendaUniv
1846,3859 Oak Pass,60858,Compartida,ViviendaUniv
1847,3640 Scott Crossing,5851,Compartida,ViviendaUniv
1848,16 Vahlen Avenue,75518,Compartida,ViviendaUniv
1849,04 Dawn Way,7330,Compartida,ViviendaUniv
1850,8 Florence Avenue,35317,Compartida,ViviendaUniv
1851,44434 Crowley Street,949,Compartida,ViviendaUniv
1852,005 Evergreen Hill,51,Compartida,ViviendaUniv
1853,2189 Thackeray Street,9588,Compartida,ViviendaUniv
1854,00 Rigney Road,48954,Compartida,ViviendaUniv
1855,27 Mcbride Plaza,17,Compartida,ViviendaUniv
1856,13 John Wall Hill,860,Compartida,ViviendaUniv
1857,68 Vermont Parkway,43668,Compartida,ViviendaUniv
1858,745 Thompson Court,9889,Compartida,ViviendaUniv
1859,08 Manley Center,8045,Compartida,ViviendaUniv
1860,065 Thackeray Junction,5,Compartida,ViviendaUniv
1861,0228 Comanche Way,74410,Compartida,ViviendaUniv
1862,8713 Hoepker Point,6512,Compartida,ViviendaUniv
1863,6168 Heffernan Street,956,Compartida,ViviendaUniv
1864,2 Bunker Hill Parkway,85,Compartida,ViviendaUniv
1865,8048 Drewry Point,5,Compartida,ViviendaUniv
1866,736 Burrows Trail,56298,Compartida,ViviendaUniv
1867,08 Lakeland Drive,524,Compartida,ViviendaUniv
1868,43943 Gerald Hill,331,Compartida,ViviendaUniv
1869,65334 3rd Alley,94357,Compartida,ViviendaUniv
1870,416 Westport Point,83,Compartida,ViviendaUniv
1871,74624 Glendale Alley,7457,Compartida,ViviendaUniv
1872,07406 Mariners Cove Center,745,Compartida,ViviendaUniv
1873,43 Norway Maple Terrace,48,Compartida,ViviendaUniv
1874,855 Cascade Park,38,Compartida,ViviendaUniv
1875,1 Corscot Circle,58845,Compartida,ViviendaUniv
1876,46837 Armistice Pass,9,Compartida,ViviendaUniv
1877,15749 Coolidge Lane,4833,Compartida,ViviendaUniv
1878,8 Claremont Court,20,Compartida,ViviendaUniv
1879,7454 Anthes Pass,97120,Compartida,ViviendaUniv
1880,7 Pankratz Terrace,06,Compartida,ViviendaUniv
1881,96251 Carey Road,60349,Compartida,ViviendaUniv
1882,981 Thackeray Alley,58,Compartida,ViviendaUniv
1883,9 Golden Leaf Junction,49,Compartida,ViviendaUniv
1884,8466 Sloan Center,0059,Compartida,ViviendaUniv
1885,96403 Onsgard Street,508,Compartida,ViviendaUniv
1886,84313 Amoth Drive,518,Compartida,ViviendaUniv
1887,0 Dahle Terrace,090,Compartida,ViviendaUniv
1888,007 Derek Drive,7752,Compartida,ViviendaUniv
1889,1 Debra Point,901,Compartida,ViviendaUniv
1890,10326 Crownhardt Point,99,Compartida,ViviendaUniv
1891,2180 Pankratz Alley,5,Compartida,ViviendaUniv
1892,491 Mendota Pass,37612,Compartida,ViviendaUniv
1893,8989 Cardinal Drive,31231,Compartida,ViviendaUniv
1894,5 Stuart Pass,462,Compartida,ViviendaUniv
1895,62532 2nd Plaza,5167,Compartida,ViviendaUniv
1896,4742 Oakridge Street,65164,Compartida,ViviendaUniv
1897,72278 Blaine Park,123,Compartida,ViviendaUniv
1898,17 Killdeer Junction,333,Compartida,ViviendaUniv
1899,0353 Washington Parkway,2,Compartida,ViviendaUniv
1900,423 Kipling Hill,27748,Compartida,ViviendaUniv
1901,0882 Nobel Park,23,Compartida,ViviendaUniv
1902,0 Brentwood Alley,182,Compartida,ViviendaUniv
1903,2 Gateway Alley,6276,Compartida,ViviendaUniv
1904,9666 Lukken Plaza,0,Compartida,ViviendaUniv
1905,3 Independence Street,51629,Compartida,ViviendaUniv
1906,3269 Mcbride Terrace,57762,Compartida,ViviendaUniv
1907,87278 Bashford Crossing,27,Compartida,ViviendaUniv
1908,99096 Ridge Oak Drive,0,Compartida,ViviendaUniv
1909,23 Crownhardt Circle,6,Compartida,ViviendaUniv
1910,050 Hansons Way,26161,Compartida,ViviendaUniv
1911,52737 Stoughton Way,4,Compartida,ViviendaUniv
1912,185 Dayton Alley,3,Compartida,ViviendaUniv
1913,23001 Lakeland Place,71350,Compartida,ViviendaUniv
1914,0124 Pine View Circle,00,Compartida,ViviendaUniv
1915,56 Little Fleur Lane,3,Compartida,ViviendaUniv
1916,724 Meadow Ridge Parkway,61048,Compartida,ViviendaUniv
1917,2 Menomonie Street,321,Compartida,ViviendaUniv
1918,015 Kinsman Point,917,Compartida,ViviendaUniv
1919,11 Hudson Plaza,7277,Compartida,ViviendaUniv
1920,0 Kipling Lane,1985,Compartida,ViviendaUniv
1921,681 Hoffman Place,4380,Compartida,ViviendaUniv
1922,8 Killdeer Road,54,Compartida,ViviendaUniv
1923,53 Laurel Court,7,Compartida,ViviendaUniv
1924,6 Forest Parkway,51,Compartida,ViviendaUniv
1925,526 Talmadge Crossing,93456,Compartida,ViviendaUniv
1926,36226 Laurel Crossing,02,Compartida,ViviendaUniv
1927,965 Mosinee Way,3,Compartida,ViviendaUniv
1928,85490 Schmedeman Court,8,Compartida,ViviendaUniv
1929,97381 Vidon Plaza,856,Compartida,ViviendaUniv
1930,54 Walton Parkway,820,Compartida,ViviendaUniv
1931,575 Warbler Circle,23,Compartida,ViviendaUniv
1932,1 Milwaukee Way,08,Compartida,ViviendaUniv
1933,4 Wayridge Plaza,33,Compartida,ViviendaUniv
1934,67 Myrtle Trail,84550,Compartida,ViviendaUniv
1935,0506 Saint Paul Hill,3,Compartida,ViviendaUniv
1936,90 Summerview Place,5,Compartida,ViviendaUniv
1937,05 Amoth Street,31,Compartida,ViviendaUniv
1938,08722 Nobel Pass,1,Compartida,ViviendaUniv
1939,813 Maple Wood Park,02,Compartida,ViviendaUniv
1940,258 Barnett Trail,54591,Compartida,ViviendaUniv
1941,714 Tennyson Park,4,Compartida,ViviendaUniv
1942,8434 Chinook Crossing,8550,Compartida,ViviendaUniv
1943,3481 Pawling Circle,9917,Compartida,ViviendaUniv
1944,57 Toban Lane,36221,Compartida,ViviendaUniv
1945,40 Bunker Hill Trail,226,Compartida,ViviendaUniv
1946,45 Doe Crossing Crossing,0,Compartida,ViviendaUniv
1947,4 Northfield Junction,52,Compartida,ViviendaUniv
1948,332 Nelson Crossing,00,Compartida,ViviendaUniv
1949,85 Orin Place,3814,Compartida,ViviendaUniv
1950,0 Carioca Junction,9,Compartida,ViviendaUniv
1951,92722 Orin Street,7,Compartida,ViviendaUniv
1952,346 Mesta Circle,3868,Compartida,ViviendaUniv
1953,4 Troy Alley,5,Compartida,ViviendaUniv
1954,8957 Graedel Street,7,Compartida,ViviendaUniv
1955,32 Corben Place,959,Compartida,ViviendaUniv
1956,03 Hermina Park,8,Compartida,ViviendaUniv
1957,2 Bay Plaza,7,Compartida,ViviendaUniv
1958,39 Gerald Road,19,Compartida,ViviendaUniv
1959,71 Weeping Birch Alley,3851,Compartida,ViviendaUniv
1960,9228 Northwestern Place,29,Compartida,ViviendaUniv
1961,197 Bayside Court,3,Compartida,ViviendaUniv
1962,10125 Hagan Crossing,3,Compartida,ViviendaUniv
1963,37918 Morning Avenue,08762,Compartida,ViviendaUniv
1964,19 Namekagon Center,2,Compartida,ViviendaUniv
1965,95623 Becker Alley,8,Compartida,ViviendaUniv
1966,9 Mayfield Way,26,Compartida,ViviendaUniv
1967,66275 Burning Wood Drive,874,Compartida,ViviendaUniv
1968,702 Jenna Avenue,0074,Compartida,ViviendaUniv
1969,28634 Vidon Junction,45074,Compartida,ViviendaUniv
1970,5380 Havey Lane,00130,Compartida,ViviendaUniv
1971,5 Talmadge Alley,6523,Compartida,ViviendaUniv
1972,0 Old Gate Center,41,Compartida,ViviendaUniv
1973,81 Bowman Park,6247,Compartida,ViviendaUniv
1974,51 Cambridge Place,593,Compartida,ViviendaUniv
1975,2891 Dennis Park,25821,Compartida,ViviendaUniv
1976,561 Sunfield Drive,44,Compartida,ViviendaUniv
1977,0679 Onsgard Place,20,Compartida,ViviendaUniv
1978,8 Randy Way,72,Compartida,ViviendaUniv
1979,52 Kennedy Hill,462,Compartida,ViviendaUniv
1980,97 Boyd Road,5,Compartida,ViviendaUniv
1981,2624 Quincy Street,06821,Compartida,ViviendaUniv
1982,0 Goodland Lane,95,Compartida,ViviendaUniv
1983,9 Old Shore Parkway,43,Compartida,ViviendaUniv
1984,277 Fair Oaks Point,30,Compartida,ViviendaUniv
1985,6 Grasskamp Way,245,Compartida,ViviendaUniv
1986,52 7th Junction,124,Compartida,ViviendaUniv
1987,78563 Lyons Plaza,2208,Compartida,ViviendaUniv
1988,136 Dottie Drive,06862,Compartida,ViviendaUniv
1989,65 Clarendon Trail,51,Compartida,ViviendaUniv
1990,6007 Derek Trail,6759,Compartida,ViviendaUniv
1991,34 Miller Terrace,1,Compartida,ViviendaUniv
1992,03 Dorton Drive,32,Compartida,ViviendaUniv
1993,6978 Erie Place,7,Compartida,ViviendaUniv
1994,922 Amoth Lane,2,Compartida,ViviendaUniv
1995,6 Old Gate Drive,85,Compartida,ViviendaUniv
1996,05 Hooker Drive,87,Compartida,ViviendaUniv
1997,2 Lunder Junction,4800,Compartida,ViviendaUniv
1998,78 Arkansas Plaza,543,Compartida,ViviendaUniv
1999,90126 Corscot Place,91,Compartida,ViviendaUniv
2000,988 Eastwood Hill,62379,Compartida,ViviendaUniv
2001,077 Pond Parkway,2,Compartida,ViviendaUniv
2002,0079 Kipling Center,61665,Compartida,ViviendaUniv
2003,10 Hooker Pass,85,Compartida,ViviendaUniv
2004,14667 Division Drive,6,Compartida,ViviendaUniv
2005,5 Anthes Trail,897,Compartida,ViviendaUniv
2006,097 Kim Hill,0,Compartida,ViviendaUniv
2007,21553 1st Alley,10438,Compartida,ViviendaUniv
2008,24929 Sundown Place,6,Compartida,ViviendaUniv
2009,1 Arkansas Drive,3,Compartida,ViviendaUniv
2010,2 Hanover Terrace,553,Compartida,ViviendaUniv
2011,3541 Victoria Alley,21,Compartida,ViviendaUniv
2012,4813 Vahlen Hill,5787,Compartida,ViviendaUniv
2013,0196 Morningstar Drive,8,Compartida,ViviendaUniv
2014,34055 Pennsylvania Drive,00929,Compartida,ViviendaUniv
2015,3 Johnson Circle,82569,Compartida,ViviendaUniv
2016,20261 Sutherland Drive,43073,Compartida,ViviendaUniv
2017,685 Lake View Place,099,Compartida,ViviendaUniv
2018,2130 Sheridan Crossing,5,Compartida,ViviendaUniv
2019,25 Lindbergh Pass,112,Compartida,ViviendaUniv
2020,56 Garrison Center,3,Compartida,ViviendaUniv
2021,777 Petterle Court,0,Compartida,ViviendaUniv
2022,20839 Golf Terrace,25,Compartida,ViviendaUniv
2023,5 Gale Park,3,Compartida,ViviendaUniv
2024,7 Eagan Street,2,Compartida,ViviendaUniv
2025,5166 Montana Crossing,10231,Compartida,ViviendaUniv
2026,2206 Sherman Avenue,1,Compartida,ViviendaUniv
2027,65 Clove Pass,78,Compartida,ViviendaUniv
2028,8856 Independence Park,7403,Compartida,ViviendaUniv
2029,819 Atwood Point,389,Compartida,ViviendaUniv
2030,126 Dapin Drive,715,Compartida,ViviendaUniv
2031,285 Springview Place,19,Compartida,ViviendaUniv
2032,9493 Loeprich Drive,07770,Compartida,ViviendaUniv
2033,162 Bellgrove Junction,55926,Compartida,ViviendaUniv
2034,4374 Lakeland Parkway,5,Compartida,ViviendaUniv
2035,1180 Emmet Terrace,520,Compartida,ViviendaUniv
2036,90720 Lillian Street,5,Compartida,ViviendaUniv
2037,29070 Anthes Plaza,260,Compartida,ViviendaUniv
2038,7 Grayhawk Court,9529,Compartida,ViviendaUniv
2039,55458 Kipling Plaza,7574,Compartida,ViviendaUniv
2040,97954 Jenna Junction,296,Compartida,ViviendaUniv
2041,9524 Dahle Park,6133,Compartida,ViviendaUniv
2042,9861 Ludington Way,053,Compartida,ViviendaUniv
2043,9014 Maryland Avenue,307,Compartida,ViviendaUniv
2044,41 Westend Avenue,0992,Compartida,ViviendaUniv
2045,6 Schiller Drive,35738,Compartida,ViviendaUniv
2046,494 Dakota Center,30382,Compartida,ViviendaUniv
2047,83 Holmberg Street,886,Compartida,ViviendaUniv
2048,530 Colorado Alley,1,Compartida,ViviendaUniv
2049,51 Vermont Point,92356,Compartida,ViviendaUniv
2050,319 Melby Place,8,Compartida,ViviendaUniv
2051,40 Calypso Court,1904,Compartida,ViviendaUniv
2052,53 Merry Pass,120,Compartida,ViviendaUniv
2053,7941 Granby Parkway,95,Compartida,ViviendaUniv
2054,3 Autumn Leaf Hill,81696,Compartida,ViviendaUniv
2055,0 Florence Lane,806,Compartida,ViviendaUniv
2056,43787 Lakewood Street,959,Compartida,ViviendaUniv
2057,818 Porter Circle,55,Compartida,ViviendaUniv
2058,081 Gateway Circle,28158,Compartida,ViviendaUniv
2059,5 Kim Terrace,5,Compartida,ViviendaUniv
2060,43 Green Ridge Junction,25,Compartida,ViviendaUniv
2061,77238 Charing Cross Drive,6147,Compartida,ViviendaUniv
2062,50 Jackson Way,71395,Compartida,ViviendaUniv
2063,385 Independence Park,192,Compartida,ViviendaUniv
2064,38226 Twin Pines Trail,35,Compartida,ViviendaUniv
2065,54975 Hoffman Trail,860,Compartida,ViviendaUniv
2066,560 Forster Place,18,Compartida,ViviendaUniv
2067,4 Ryan Center,12,Compartida,ViviendaUniv
2068,34 Johnson Avenue,1,Compartida,ViviendaUniv
2069,8 Carpenter Circle,97,Compartida,ViviendaUniv
2070,664 Reinke Hill,981,Compartida,ViviendaUniv
2071,704 Roth Place,52428,Compartida,ViviendaUniv
2072,8 Rigney Street,9,Compartida,ViviendaUniv
2073,903 Barnett Point,63017,Compartida,ViviendaUniv
2074,66660 Orin Hill,6477,Compartida,ViviendaUniv
2075,7470 Southridge Pass,9528,Compartida,ViviendaUniv
2076,6426 Saint Paul Terrace,4,Compartida,ViviendaUniv
2077,5 Dakota Crossing,42,Compartida,ViviendaUniv
2078,20 Forest Run Hill,243,Compartida,ViviendaUniv
2079,390 Hauk Trail,2527,Compartida,ViviendaUniv
2080,92 Ridgeway Plaza,1671,Compartida,ViviendaUniv
2081,90230 Bunting Hill,05,Compartida,ViviendaUniv
2082,8827 Pawling Trail,85,Compartida,ViviendaUniv
2083,7 Riverside Center,804,Compartida,ViviendaUniv
2084,2084 Buhler Drive,2,Compartida,ViviendaUniv
2085,54827 Grim Court,530,Compartida,ViviendaUniv
2086,5 Lawn Road,9,Compartida,ViviendaUniv
2087,1 Buena Vista Terrace,4057,Compartida,ViviendaUniv
2088,8958 Forest Dale Court,23,Compartida,ViviendaUniv
2089,2740 Petterle Pass,299,Compartida,ViviendaUniv
2090,83 Londonderry Pass,940,Compartida,ViviendaUniv
2091,2865 Manitowish Terrace,90355,Compartida,ViviendaUniv
2092,307 Prairie Rose Alley,74,Compartida,ViviendaUniv
2093,0167 Sheridan Pass,50573,Compartida,ViviendaUniv
2094,1 Huxley Hill,12418,Compartida,ViviendaUniv
2095,6 Jenna Place,299,Compartida,ViviendaUniv
2096,02 Maple Wood Circle,66151,Compartida,ViviendaUniv
2097,005 Scott Trail,01,Compartida,ViviendaUniv
2098,6436 Esker Place,53,Compartida,ViviendaUniv
2099,8 Fulton Point,79,Compartida,ViviendaUniv
2100,048 Independence Parkway,33,Compartida,ViviendaUniv
2101,46 Bartelt Lane,796,Compartida,ViviendaUniv
2102,3693 3rd Terrace,826,Compartida,ViviendaUniv
2103,074 Forest Center,998,Compartida,ViviendaUniv
2104,947 Garrison Plaza,583,Compartida,ViviendaUniv
2105,1 Kropf Terrace,0,Compartida,ViviendaUniv
2106,9732 Anthes Junction,1450,Compartida,ViviendaUniv
2107,23 Cordelia Drive,14129,Compartida,ViviendaUniv
2108,5 Blue Bill Park Trail,1443,Compartida,ViviendaUniv
2109,86638 Pepper Wood Street,35707,Compartida,ViviendaUniv
2110,3 Quincy Lane,63,Compartida,ViviendaUniv
2111,7704 Karstens Alley,513,Compartida,ViviendaUniv
2112,9 Columbus Place,07,Compartida,ViviendaUniv
2113,61 Elgar Hill,4122,Compartida,ViviendaUniv
2114,07534 Maywood Junction,0573,Compartida,ViviendaUniv
2115,87960 New Castle Hill,7833,Compartida,ViviendaUniv
2116,1 Northport Parkway,688,Compartida,ViviendaUniv
2117,9580 Lawn Plaza,356,Compartida,ViviendaUniv
2118,7 Tennyson Lane,11286,Compartida,ViviendaUniv
2119,05607 Gerald Center,28143,Compartida,ViviendaUniv
2120,6423 Bonner Avenue,346,Compartida,ViviendaUniv
2121,0165 Gateway Drive,8948,Compartida,ViviendaUniv
2122,6732 Mitchell Street,77863,Compartida,ViviendaUniv
2123,8 Express Pass,330,Compartida,ViviendaUniv
2124,0736 Mifflin Drive,53911,Compartida,ViviendaUniv
2125,7687 John Wall Road,65,Compartida,ViviendaUniv
2126,572 Heath Street,7010,Compartida,ViviendaUniv
2127,5509 Merry Plaza,97787,Compartida,ViviendaUniv
2128,9936 Dawn Trail,99,Compartida,ViviendaUniv
2129,0639 Corry Hill,9237,Compartida,ViviendaUniv
2130,63 Bartillon Trail,717,Compartida,ViviendaUniv
2131,5033 Claremont Crossing,232,Compartida,ViviendaUniv
2132,4751 Algoma Parkway,83,Compartida,ViviendaUniv
2133,132 Daystar Center,2,Compartida,ViviendaUniv
2134,437 Muir Lane,6,Compartida,ViviendaUniv
2135,177 Eagle Crest Point,149,Compartida,ViviendaUniv
2136,26 Harper Circle,71,Compartida,ViviendaUniv
2137,370 Village Green Center,08,Compartida,ViviendaUniv
2138,61 Northport Circle,309,Compartida,ViviendaUniv
2139,5 Village Green Road,2,Compartida,ViviendaUniv
2140,2620 Hoepker Trail,4,Compartida,ViviendaUniv
2141,58 Miller Street,63,Compartida,ViviendaUniv
2142,37 Maple Circle,773,Compartida,ViviendaUniv
2143,459 Farwell Plaza,04812,Compartida,ViviendaUniv
2144,113 Anthes Park,3820,Compartida,ViviendaUniv
2145,179 Arizona Court,24269,Compartida,ViviendaUniv
2146,35 Sommers Street,8,Compartida,ViviendaUniv
2147,6 Grim Drive,0759,Compartida,ViviendaUniv
2148,61652 East Hill,498,Compartida,ViviendaUniv
2149,58 Judy Way,1,Compartida,ViviendaUniv
2150,929 Delladonna Junction,1836,Compartida,ViviendaUniv
2151,6814 Menomonie Hill,3336,Compartida,ViviendaUniv
2152,32062 Anzinger Place,371,Compartida,ViviendaUniv
2153,174 Texas Court,4175,Compartida,ViviendaUniv
2154,60388 Forest Dale Park,68911,Compartida,ViviendaUniv
2155,1 Anniversary Place,4,Compartida,ViviendaUniv
2156,083 Lyons Road,47,Compartida,ViviendaUniv
2157,6 Bobwhite Parkway,053,Compartida,ViviendaUniv
2158,4 Ryan Park,96707,Compartida,ViviendaUniv
2159,04 Elgar Trail,48934,Compartida,ViviendaUniv
2160,861 Aberg Avenue,98,Compartida,ViviendaUniv
2161,44 Burning Wood Place,0,Compartida,ViviendaUniv
2162,5 Homewood Junction,90,Compartida,ViviendaUniv
2163,45 Lake View Court,452,Compartida,ViviendaUniv
2164,02041 Morrow Place,863,Compartida,ViviendaUniv
2165,93792 Acker Street,41200,Compartida,ViviendaUniv
2166,883 Kenwood Street,8,Compartida,ViviendaUniv
2167,332 Tony Junction,802,Compartida,ViviendaUniv
2168,10 Alpine Terrace,04204,Compartida,ViviendaUniv
2169,3931 Russell Trail,49754,Compartida,ViviendaUniv
2170,7122 Cambridge Court,1265,Compartida,ViviendaUniv
2171,767 Saint Paul Trail,9775,Compartida,ViviendaUniv
2172,70 Sundown Plaza,2,Compartida,ViviendaUniv
2173,85 Dapin Trail,9,Compartida,ViviendaUniv
2174,71362 Susan Point,199,Compartida,ViviendaUniv
2175,371 Sullivan Junction,62805,Compartida,ViviendaUniv
2176,4460 Dakota Hill,4886,Compartida,ViviendaUniv
2177,8079 Mendota Crossing,042,Compartida,ViviendaUniv
2178,62 Maple Road,506,Compartida,ViviendaUniv
2179,1062 Kinsman Alley,97440,Compartida,ViviendaUniv
2180,31378 Sutteridge Crossing,8,Compartida,ViviendaUniv
2181,7938 Atwood Park,35,Compartida,ViviendaUniv
2182,539 Fisk Plaza,9840,Compartida,ViviendaUniv
2183,78 Upham Street,6875,Compartida,ViviendaUniv
2184,1972 Raven Road,58958,Compartida,ViviendaUniv
2185,854 Banding Point,29,Compartida,ViviendaUniv
2186,3668 Roth Plaza,400,Compartida,ViviendaUniv
2187,74 Reinke Plaza,3812,Compartida,ViviendaUniv
2188,187 Morningstar Pass,3,Compartida,ViviendaUniv
2189,0 Everett Pass,010,Compartida,ViviendaUniv
2190,246 Boyd Terrace,7,Compartida,ViviendaUniv
2191,864 Bultman Center,327,Compartida,ViviendaUniv
2192,45647 Dapin Way,116,Compartida,ViviendaUniv
2193,76 Lunder Plaza,083,Compartida,ViviendaUniv
2194,31055 Bultman Plaza,989,Compartida,ViviendaUniv
2195,15215 Mallard Lane,42,Compartida,ViviendaUniv
2196,97 Sutteridge Park,7,Compartida,ViviendaUniv
2197,59939 Meadow Vale Junction,04086,Compartida,ViviendaUniv
2198,0643 Duke Hill,5,Compartida,ViviendaUniv
2199,5693 Park Meadow Point,1,Compartida,ViviendaUniv
2200,0 Dwight Street,36,Compartida,ViviendaUniv
2201,4966 Claremont Street,15418,Compartida,ViviendaUniv
2202,10036 Oak Valley Street,8782,Compartida,ViviendaUniv
2203,9406 Morrow Lane,1802,Compartida,ViviendaUniv
2204,1 Dottie Crossing,5,Compartida,ViviendaUniv
2205,92353 Lake View Trail,7723,Compartida,ViviendaUniv
2206,3287 Dapin Street,05,Compartida,ViviendaUniv
2207,28 7th Street,08287,Compartida,ViviendaUniv
2208,2090 Loeprich Drive,73279,Compartida,ViviendaUniv
2209,60 Elka Crossing,3150,Compartida,ViviendaUniv
2210,07 Lake View Court,8,Compartida,ViviendaUniv
2211,3844 Shoshone Parkway,4,Compartida,ViviendaUniv
2212,051 Pine View Way,77,Compartida,ViviendaUniv
2213,387 Orin Pass,3868,Compartida,ViviendaUniv
2214,5 Florence Pass,8,Compartida,ViviendaUniv
2215,426 Glacier Hill Center,0,Compartida,ViviendaUniv
2216,1 Hanson Street,946,Compartida,ViviendaUniv
2217,7161 Bowman Junction,365,Compartida,ViviendaUniv
2218,336 Glacier Hill Terrace,85,Compartida,ViviendaUniv
2219,5 Meadow Ridge Center,225,Compartida,ViviendaUniv
2220,16645 Shopko Park,109,Compartida,ViviendaUniv
2221,3521 Maple Wood Lane,63945,Compartida,ViviendaUniv
2222,621 Mosinee Alley,7,Compartida,ViviendaUniv
2223,6 Stephen Trail,4022,Compartida,ViviendaUniv
2224,462 Holmberg Parkway,2823,Compartida,ViviendaUniv
