IDALOJAMIENTO,DIRECCION,NUMHABITACION,TIPOHABITACION,TIPOOPHAB
7856,701 Iowa Lane,4,Compartida,PersonaNatural
7857,8 Merchant Court,2,Individual,PersonaNatural
7858,7480 Ridge Oak Pass,1,Compartida,PersonaNatural
7859,91851 Eastwood Place,3,Individual,PersonaNatural
7860,48 Colorado Junction,1,Individual,PersonaNatural
7861,7 La Follette Avenue,4,Individual,PersonaNatural
7862,77 Waubesa Terrace,2,Individual,PersonaNatural
7863,92 Novick Drive,3,Compartida,PersonaNatural
7864,2 Vahlen Terrace,1,Individual,PersonaNatural
7865,94195 Dixon Road,3,Individual,PersonaNatural
7866,01246 Victoria Terrace,3,Compartida,PersonaNatural
7867,304 Service Parkway,1,Individual,PersonaNatural
7868,91 Jenifer Lane,1,Compartida,PersonaNatural
7869,341 Cardinal Lane,2,Compartida,PersonaNatural
7870,7 Elka Crossing,2,Compartida,PersonaNatural
7871,07295 Eggendart Park,1,Compartida,PersonaNatural
7872,400 7th Alley,1,Compartida,PersonaNatural
7873,0 Esch Court,3,Individual,PersonaNatural
7874,807 Boyd Place,3,Compartida,PersonaNatural
7875,91 Bluejay Trail,1,Compartida,PersonaNatural
7876,76 Lighthouse Bay Circle,1,Individual,PersonaNatural
7877,0 Banding Terrace,3,Individual,PersonaNatural
7878,69 Londonderry Parkway,4,Compartida,PersonaNatural
7879,25 Roxbury Place,1,Individual,PersonaNatural
7880,20 Sheridan Pass,4,Compartida,PersonaNatural
7881,0 Norway Maple Trail,2,Individual,PersonaNatural
7882,0 Hoard Trail,1,Compartida,PersonaNatural
7883,5143 Declaration Point,4,Compartida,PersonaNatural
7884,30 Heath Avenue,3,Compartida,PersonaNatural
7885,68449 Quincy Street,4,Individual,PersonaNatural
7886,2886 Manley Lane,4,Individual,PersonaNatural
7887,55920 Carpenter Court,1,Compartida,PersonaNatural
7888,2248 Huxley Point,2,Compartida,PersonaNatural
7889,5450 Colorado Parkway,4,Compartida,PersonaNatural
7890,95818 Fallview Circle,1,Compartida,PersonaNatural
7891,4955 Ohio Point,2,Individual,PersonaNatural
7892,0075 Anderson Road,1,Compartida,PersonaNatural
7893,59 Larry Terrace,4,Compartida,PersonaNatural
7894,39677 Carberry Park,1,Individual,PersonaNatural
7895,6556 Tennessee Parkway,3,Individual,PersonaNatural
7896,40 Manitowish Point,2,Individual,PersonaNatural
7897,09467 Johnson Avenue,4,Compartida,PersonaNatural
7898,8 Bay Plaza,2,Individual,PersonaNatural
7899,2 Manitowish Point,1,Individual,PersonaNatural
7900,284 Lighthouse Bay Place,3,Individual,PersonaNatural
7901,0 Sommers Circle,4,Compartida,PersonaNatural
7902,2 Sugar Park,3,Compartida,PersonaNatural
7903,4 Southridge Trail,3,Individual,PersonaNatural
7904,88853 Porter Park,4,Compartida,PersonaNatural
7905,31216 Anthes Way,2,Individual,PersonaNatural
7906,40074 Sunfield Junction,2,Individual,PersonaNatural
7907,09153 International Plaza,3,Compartida,PersonaNatural
7908,955 Nobel Hill,3,Compartida,PersonaNatural
7909,69 Moose Alley,3,Compartida,PersonaNatural
7910,808 Menomonie Park,3,Individual,PersonaNatural
7911,08 Forest Dale Place,4,Individual,PersonaNatural
7912,9 Mayer Place,3,Compartida,PersonaNatural
7913,2774 Roth Hill,4,Compartida,PersonaNatural
7914,72 North Junction,4,Compartida,PersonaNatural
7915,736 Hermina Hill,2,Individual,PersonaNatural
7916,61 Hallows Terrace,1,Compartida,PersonaNatural
7917,00 Bellgrove Place,3,Individual,PersonaNatural
7918,19405 Thompson Hill,1,Individual,PersonaNatural
7919,4 Darwin Circle,2,Individual,PersonaNatural
7920,430 Norway Maple Plaza,4,Individual,PersonaNatural
7921,66 Victoria Street,3,Individual,PersonaNatural
7922,772 Westport Alley,4,Compartida,PersonaNatural
7923,484 Russell Trail,1,Compartida,PersonaNatural
7924,951 Express Park,2,Individual,PersonaNatural
7925,18 Elka Circle,3,Compartida,PersonaNatural
7926,825 Blackbird Trail,2,Individual,PersonaNatural
7927,257 Springs Pass,1,Individual,PersonaNatural
7928,081 Huxley Avenue,4,Individual,PersonaNatural
7929,1716 American Ash Road,4,Compartida,PersonaNatural
7930,82 Bobwhite Crossing,4,Compartida,PersonaNatural
7931,6 Corben Place,2,Individual,PersonaNatural
7932,105 Coleman Junction,4,Individual,PersonaNatural
7933,486 Talmadge Alley,4,Individual,PersonaNatural
7934,6016 Lakeland Point,3,Individual,PersonaNatural
7935,42623 Pawling Parkway,4,Individual,PersonaNatural
7936,2 Superior Circle,1,Individual,PersonaNatural
7937,00 Prairie Rose Lane,3,Compartida,PersonaNatural
7938,3885 Kipling Court,1,Individual,PersonaNatural
7939,8 Center Trail,4,Compartida,PersonaNatural
7940,118 Helena Junction,3,Individual,PersonaNatural
7941,03 Waywood Circle,3,Individual,PersonaNatural
7942,05 School Center,1,Compartida,PersonaNatural
7943,8945 Oak Plaza,1,Individual,PersonaNatural
7944,0226 Prentice Center,3,Individual,PersonaNatural
7945,487 Thompson Alley,1,Individual,PersonaNatural
7946,97575 Northwestern Junction,4,Individual,PersonaNatural
7947,765 Wayridge Road,3,Compartida,PersonaNatural
7948,3 Lien Junction,2,Compartida,PersonaNatural
7949,456 Twin Pines Avenue,1,Compartida,PersonaNatural
7950,2237 American Ash Street,3,Individual,PersonaNatural
7951,4 Hallows Circle,3,Compartida,PersonaNatural
7952,2 Oneill Hill,2,Compartida,PersonaNatural
7953,6450 Kenwood Avenue,2,Individual,PersonaNatural
7954,21 Moland Terrace,3,Individual,PersonaNatural
7955,17935 Burning Wood Crossing,4,Compartida,PersonaNatural
7956,85318 4th Hill,3,Individual,PersonaNatural
7957,06 Sundown Trail,2,Individual,PersonaNatural
7958,73 Service Lane,4,Individual,PersonaNatural
7959,47464 Brickson Park Court,3,Individual,PersonaNatural
7960,403 Everett Point,1,Compartida,PersonaNatural
7961,96 Buena Vista Way,3,Compartida,PersonaNatural
7962,88 Thierer Terrace,4,Compartida,PersonaNatural
7963,628 Buhler Circle,4,Individual,PersonaNatural
7964,29 Marcy Place,4,Compartida,PersonaNatural
7965,2 Spohn Alley,2,Compartida,PersonaNatural
7966,051 Donald Crossing,4,Compartida,PersonaNatural
7967,1 Corscot Way,3,Compartida,PersonaNatural
7968,36310 Redwing Drive,4,Compartida,PersonaNatural
7969,31 Beilfuss Point,2,Compartida,PersonaNatural
7970,6053 Pankratz Plaza,3,Individual,PersonaNatural
7971,6 Westerfield Place,3,Individual,PersonaNatural
7972,3 Hagan Avenue,3,Individual,PersonaNatural
7973,93526 Mcguire Plaza,1,Compartida,PersonaNatural
7974,180 Schurz Park,1,Compartida,PersonaNatural
7975,631 Helena Avenue,3,Individual,PersonaNatural
7976,62 Butterfield Park,4,Individual,PersonaNatural
7977,584 Old Shore Hill,1,Individual,PersonaNatural
7978,1 Paget Drive,1,Individual,PersonaNatural
7979,7 Sauthoff Road,1,Individual,PersonaNatural
7980,47 Old Gate Center,3,Compartida,PersonaNatural
7981,14320 Chive Road,3,Individual,PersonaNatural
7982,22979 Cody Place,3,Compartida,PersonaNatural
7983,07490 Tennyson Pass,4,Compartida,PersonaNatural
7984,5508 Summit Crossing,3,Individual,PersonaNatural
7985,9013 Northfield Drive,1,Individual,PersonaNatural
7986,326 Old Gate Center,1,Compartida,PersonaNatural
7987,6 Schiller Place,4,Individual,PersonaNatural
7988,317 Havey Court,4,Compartida,PersonaNatural
7989,6855 5th Alley,2,Compartida,PersonaNatural
7990,6020 Jenifer Junction,1,Compartida,PersonaNatural
7991,7 Marquette Trail,4,Individual,PersonaNatural
7992,089 Meadow Vale Circle,1,Compartida,PersonaNatural
7993,7 Sage Alley,2,Compartida,PersonaNatural
7994,2945 Laurel Terrace,3,Individual,PersonaNatural
7995,300 Nobel Way,4,Individual,PersonaNatural
7996,3 Laurel Drive,4,Individual,PersonaNatural
7997,53099 Armistice Park,2,Individual,PersonaNatural
7998,73 Steensland Road,3,Individual,PersonaNatural
7999,93 Ryan Road,3,Individual,PersonaNatural
8000,69 Algoma Drive,1,Individual,PersonaNatural
8001,895 Eastwood Lane,1,Compartida,PersonaNatural
8002,997 Lien Junction,2,Individual,PersonaNatural
8003,519 Fulton Park,1,Compartida,PersonaNatural
8004,13 Vidon Place,1,Individual,PersonaNatural
8005,6 Talisman Parkway,3,Individual,PersonaNatural
8006,8 Kipling Park,3,Compartida,PersonaNatural
8007,8740 Esch Court,3,Compartida,PersonaNatural
8008,20 Hintze Crossing,2,Individual,PersonaNatural
8009,05 Ilene Trail,3,Compartida,PersonaNatural
8010,927 Monica Alley,3,Compartida,PersonaNatural
8011,590 Hollow Ridge Plaza,3,Compartida,PersonaNatural
8012,23 Village Crossing,3,Individual,PersonaNatural
8013,45 Pine View Trail,3,Individual,PersonaNatural
8014,51788 Northridge Park,1,Individual,PersonaNatural
8015,8 West Plaza,2,Individual,PersonaNatural
8016,780 Tony Terrace,4,Individual,PersonaNatural
8017,0342 Esker Drive,3,Compartida,PersonaNatural
8018,06 Del Sol Crossing,4,Compartida,PersonaNatural
8019,2678 Cordelia Court,4,Compartida,PersonaNatural
8020,78 Rusk Alley,3,Compartida,PersonaNatural
8021,3869 Warbler Junction,4,Compartida,PersonaNatural
8022,8846 Melrose Terrace,2,Compartida,PersonaNatural
8023,3 Trailsway Lane,4,Compartida,PersonaNatural
8024,65 Scoville Place,1,Individual,PersonaNatural
8025,3 Barby Way,3,Individual,PersonaNatural
8026,561 Burning Wood Center,2,Individual,PersonaNatural
8027,057 Sutherland Park,2,Compartida,PersonaNatural
8028,7 Sachs Terrace,3,Compartida,PersonaNatural
8029,402 Reindahl Court,4,Compartida,PersonaNatural
8030,44093 Oxford Alley,4,Individual,PersonaNatural
8031,089 Holy Cross Court,1,Individual,PersonaNatural
8032,25 7th Road,1,Individual,PersonaNatural
8033,6 Banding Center,3,Individual,PersonaNatural
8034,579 Gina Trail,1,Compartida,PersonaNatural
8035,4184 Armistice Alley,4,Compartida,PersonaNatural
8036,26 Jana Way,1,Individual,PersonaNatural
8037,55 Swallow Street,1,Compartida,PersonaNatural
8038,803 Banding Parkway,4,Individual,PersonaNatural
8039,6 Porter Junction,1,Compartida,PersonaNatural
8040,94035 Oak Valley Drive,2,Individual,PersonaNatural
8041,44847 American Terrace,1,Compartida,PersonaNatural
8042,34504 Annamark Point,4,Compartida,PersonaNatural
8043,57 Straubel Point,4,Compartida,PersonaNatural
8044,126 Blackbird Street,3,Individual,PersonaNatural
8045,2322 Prairieview Center,1,Individual,PersonaNatural
8046,8296 Dorton Circle,2,Compartida,PersonaNatural
8047,2680 Hudson Circle,3,Individual,PersonaNatural
8048,24018 Milwaukee Avenue,4,Individual,PersonaNatural
8049,694 Kingsford Place,3,Compartida,PersonaNatural
8050,08825 Hagan Court,4,Compartida,PersonaNatural
8051,11 Crescent Oaks Avenue,3,Individual,PersonaNatural
8052,09 Truax Court,4,Compartida,PersonaNatural
8053,19 Florence Way,4,Individual,PersonaNatural
8054,101 Lakewood Gardens Drive,4,Individual,PersonaNatural
8055,5014 Thackeray Parkway,4,Compartida,PersonaNatural
8056,46 Badeau Road,4,Compartida,PersonaNatural
8057,10318 International Junction,2,Compartida,PersonaNatural
8058,841 Debs Avenue,1,Individual,PersonaNatural
8059,69567 Rutledge Circle,4,Individual,PersonaNatural
8060,6 Sauthoff Circle,4,Individual,PersonaNatural
8061,125 Barnett Street,4,Individual,PersonaNatural
8062,0 Green Ridge Drive,1,Compartida,PersonaNatural
8063,3 Carioca Place,4,Individual,PersonaNatural
8064,0 Montana Center,2,Compartida,PersonaNatural
8065,836 Erie Circle,2,Individual,PersonaNatural
8066,2 Talisman Alley,3,Compartida,PersonaNatural
8067,3788 Starling Plaza,4,Individual,PersonaNatural
8068,5 Cherokee Lane,3,Compartida,PersonaNatural
8069,621 Bashford Hill,4,Individual,PersonaNatural
8070,05 Surrey Park,4,Compartida,PersonaNatural
8071,0 Nancy Lane,2,Compartida,PersonaNatural
8072,515 5th Place,1,Individual,PersonaNatural
8073,148 Cherokee Point,3,Compartida,PersonaNatural
8074,6482 Drewry Hill,4,Compartida,PersonaNatural
8075,278 Iowa Crossing,1,Individual,PersonaNatural
8076,88274 Dovetail Terrace,2,Individual,PersonaNatural
8077,9358 7th Street,1,Individual,PersonaNatural
8078,9301 Quincy Alley,1,Compartida,PersonaNatural
8079,9405 Novick Point,2,Compartida,PersonaNatural
8080,27869 La Follette Terrace,3,Compartida,PersonaNatural
8081,64 School Road,2,Compartida,PersonaNatural
8082,46 Bay Circle,3,Compartida,PersonaNatural
8083,7 Crownhardt Drive,4,Compartida,PersonaNatural
8084,609 Mcguire Place,4,Individual,PersonaNatural
8085,955 Maywood Parkway,4,Compartida,PersonaNatural
8086,77130 Drewry Hill,3,Compartida,PersonaNatural
8087,6 Moose Parkway,3,Individual,PersonaNatural
8088,0169 Victoria Way,3,Individual,PersonaNatural
8089,564 Talmadge Way,1,Individual,PersonaNatural
8090,7 Milwaukee Drive,2,Compartida,PersonaNatural
8091,856 Paget Hill,3,Individual,PersonaNatural
8092,850 Badeau Alley,3,Compartida,PersonaNatural
8093,7 Hoffman Drive,3,Compartida,PersonaNatural
8094,99426 Pine View Parkway,3,Individual,PersonaNatural
8095,07565 Vahlen Avenue,2,Compartida,PersonaNatural
8096,261 Independence Junction,3,Individual,PersonaNatural
8097,26719 Knutson Avenue,4,Individual,PersonaNatural
8098,29 Fisk Point,3,Compartida,PersonaNatural
8099,424 Corscot Way,1,Individual,PersonaNatural
8100,81200 Mitchell Crossing,2,Compartida,PersonaNatural
8101,350 Troy Street,3,Individual,PersonaNatural
8102,3831 Nelson Drive,2,Individual,PersonaNatural
8103,14 Moland Center,4,Compartida,PersonaNatural
8104,115 Farwell Lane,1,Individual,PersonaNatural
8105,30 Truax Alley,3,Compartida,PersonaNatural
8106,1110 Becker Point,1,Individual,PersonaNatural
8107,1904 Elka Lane,2,Compartida,PersonaNatural
8108,51471 Elka Court,4,Compartida,PersonaNatural
8109,7443 Village Green Trail,4,Individual,PersonaNatural
8110,498 Anderson Parkway,3,Individual,PersonaNatural
8111,895 Tomscot Place,4,Compartida,PersonaNatural
8112,24 Hooker Hill,4,Compartida,PersonaNatural
8113,61 Anniversary Circle,3,Individual,PersonaNatural
8114,340 Express Point,2,Individual,PersonaNatural
8115,085 Heffernan Point,4,Individual,PersonaNatural
8116,2388 Riverside Way,3,Compartida,PersonaNatural
8117,67 Crest Line Terrace,2,Compartida,PersonaNatural
8118,09 Ridge Oak Center,2,Compartida,PersonaNatural
8119,561 Warrior Parkway,3,Individual,PersonaNatural
8120,2529 Corben Circle,2,Individual,PersonaNatural
8121,548 Leroy Center,2,Individual,PersonaNatural
8122,83679 Vera Parkway,1,Compartida,PersonaNatural
8123,8 Westridge Road,4,Compartida,PersonaNatural
8124,20 Glacier Hill Parkway,3,Compartida,PersonaNatural
8125,90 Burning Wood Parkway,1,Individual,PersonaNatural
8126,99 Hollow Ridge Way,4,Compartida,PersonaNatural
8127,49631 Packers Drive,2,Individual,PersonaNatural
8128,93 Larry Parkway,1,Individual,PersonaNatural
8129,45 John Wall Trail,4,Individual,PersonaNatural
8130,527 Division Road,1,Individual,PersonaNatural
8131,2287 Killdeer Parkway,1,Compartida,PersonaNatural
8132,30 La Follette Circle,4,Individual,PersonaNatural
8133,91 Mandrake Court,4,Compartida,PersonaNatural
8134,03 Southridge Drive,2,Individual,PersonaNatural
8135,628 Stone Corner Center,4,Compartida,PersonaNatural
8136,41 Atwood Avenue,3,Individual,PersonaNatural
8137,018 Kipling Center,3,Individual,PersonaNatural
8138,321 Lindbergh Crossing,3,Compartida,PersonaNatural
8139,0 Kingsford Center,3,Compartida,PersonaNatural
8140,933 Service Terrace,2,Compartida,PersonaNatural
8141,85 Columbus Point,4,Compartida,PersonaNatural
8142,9 Montana Road,4,Individual,PersonaNatural
8143,7898 Westend Center,3,Compartida,PersonaNatural
8144,90809 Shoshone Pass,4,Compartida,PersonaNatural
8145,12 Nelson Parkway,4,Individual,PersonaNatural
8146,56360 Bowman Center,1,Compartida,PersonaNatural
8147,5093 Roxbury Alley,1,Individual,PersonaNatural
8148,66409 Bellgrove Lane,4,Individual,PersonaNatural
8149,47 Blue Bill Park Terrace,1,Compartida,PersonaNatural
8150,21855 Superior Hill,4,Individual,PersonaNatural
8151,3 American Parkway,4,Individual,PersonaNatural
8152,99662 Stang Road,2,Individual,PersonaNatural
8153,01352 Cambridge Circle,2,Compartida,PersonaNatural
8154,26384 Birchwood Way,1,Compartida,PersonaNatural
8155,9746 Morningstar Parkway,4,Compartida,PersonaNatural
8156,25350 Stoughton Crossing,2,Individual,PersonaNatural
8157,653 Banding Plaza,4,Individual,PersonaNatural
8158,4198 Merrick Place,4,Compartida,PersonaNatural
8159,3330 Riverside Park,2,Compartida,PersonaNatural
8160,079 Porter Lane,4,Individual,PersonaNatural
8161,7410 West Court,4,Compartida,PersonaNatural
8162,05947 Sachtjen Lane,2,Compartida,PersonaNatural
8163,73983 Little Fleur Junction,2,Individual,PersonaNatural
8164,4525 Kedzie Trail,4,Individual,PersonaNatural
8165,1395 Vidon Junction,3,Individual,PersonaNatural
8166,10 Susan Court,2,Compartida,PersonaNatural
8167,62990 Meadow Vale Terrace,3,Compartida,PersonaNatural
8168,2688 Claremont Way,2,Individual,PersonaNatural
8169,1 Upham Street,1,Individual,PersonaNatural
8170,97 Browning Street,2,Individual,PersonaNatural
8171,200 Loftsgordon Street,1,Individual,PersonaNatural
8172,66 Butternut Crossing,3,Compartida,PersonaNatural
8173,74 Arizona Pass,3,Individual,PersonaNatural
8174,89707 Mcguire Drive,4,Individual,PersonaNatural
8175,6050 Darwin Plaza,3,Compartida,PersonaNatural
8176,9 Vahlen Place,1,Individual,PersonaNatural
8177,8647 Pleasure Hill,1,Compartida,PersonaNatural
8178,194 Brentwood Court,3,Compartida,PersonaNatural
8179,53 Killdeer Way,4,Individual,PersonaNatural
8180,908 Riverside Park,2,Individual,PersonaNatural
8181,6 Di Loreto Park,3,Individual,PersonaNatural
8182,64 Main Parkway,2,Individual,PersonaNatural
8183,97 Esch Court,1,Individual,PersonaNatural
8184,002 Lyons Plaza,2,Individual,PersonaNatural
8185,6614 Clarendon Lane,2,Compartida,PersonaNatural
8186,7 Buena Vista Point,4,Individual,PersonaNatural
8187,39891 Algoma Drive,2,Individual,PersonaNatural
8188,24094 Nancy Court,4,Individual,PersonaNatural
8189,93 Packers Park,2,Individual,PersonaNatural
8190,37463 Farwell Point,2,Individual,PersonaNatural
8191,3743 Debra Avenue,3,Individual,PersonaNatural
8192,0 Basil Circle,3,Individual,PersonaNatural
8193,99 Vahlen Terrace,2,Compartida,PersonaNatural
8194,711 Packers Parkway,1,Individual,PersonaNatural
8195,1 Stuart Point,2,Individual,PersonaNatural
8196,58 Darwin Alley,2,Individual,PersonaNatural
8197,996 Donald Circle,2,Compartida,PersonaNatural
8198,46 Calypso Road,3,Compartida,PersonaNatural
8199,52 Blue Bill Park Terrace,1,Compartida,PersonaNatural
8200,86573 Stone Corner Avenue,4,Individual,PersonaNatural
8201,5 Maple Wood Parkway,4,Individual,PersonaNatural
8202,70805 5th Circle,3,Individual,PersonaNatural
8203,609 Summerview Street,2,Compartida,PersonaNatural
8204,32 Crest Line Road,2,Compartida,PersonaNatural
8205,56 Arizona Parkway,4,Compartida,PersonaNatural
8206,85 Buhler Junction,1,Individual,PersonaNatural
8207,3 Sycamore Circle,4,Compartida,PersonaNatural
8208,2650 Glacier Hill Center,1,Individual,PersonaNatural
8209,5547 Mosinee Terrace,3,Individual,PersonaNatural
8210,25684 Jana Street,3,Individual,PersonaNatural
8211,4 Burning Wood Circle,1,Compartida,PersonaNatural
8212,7 Fremont Place,1,Compartida,PersonaNatural
8213,7 Troy Hill,4,Compartida,PersonaNatural
8214,61 Towne Junction,3,Compartida,PersonaNatural
8215,728 Killdeer Pass,3,Individual,PersonaNatural
8216,455 Center Junction,4,Compartida,PersonaNatural
8217,7813 Judy Hill,1,Individual,PersonaNatural
8218,0864 Bluestem Park,4,Individual,PersonaNatural
8219,5 Tennessee Pass,2,Individual,PersonaNatural
8220,40937 Sycamore Junction,3,Compartida,PersonaNatural
8221,33333 Springview Court,2,Individual,PersonaNatural
8222,83 Prairieview Park,1,Individual,PersonaNatural
8223,0911 Brown Park,2,Compartida,PersonaNatural
8224,10 Del Mar Junction,4,Compartida,PersonaNatural
8225,146 7th Crossing,4,Individual,PersonaNatural
8226,5883 Anthes Pass,3,Compartida,PersonaNatural
8227,50967 Carioca Trail,2,Individual,PersonaNatural
8228,4 Pearson Road,4,Compartida,PersonaNatural
8229,56 Boyd Lane,3,Compartida,PersonaNatural
8230,3764 Johnson Place,4,Individual,PersonaNatural
8231,289 Center Crossing,2,Compartida,PersonaNatural
8232,64893 Kim Park,1,Compartida,PersonaNatural
8233,438 Lyons Circle,4,Individual,PersonaNatural
8234,31887 Huxley Trail,3,Individual,PersonaNatural
8235,50 Prairieview Road,3,Individual,PersonaNatural
8236,67758 High Crossing Plaza,1,Compartida,PersonaNatural
8237,318 Southridge Lane,3,Individual,PersonaNatural
8238,68 Maywood Pass,1,Compartida,PersonaNatural
8239,3 Fairfield Road,1,Individual,PersonaNatural
8240,30481 Fisk Junction,1,Individual,PersonaNatural
8241,63053 Crest Line Junction,2,Compartida,PersonaNatural
8242,448 Reindahl Plaza,2,Individual,PersonaNatural
8243,5644 Green Ridge Drive,1,Compartida,PersonaNatural
8244,434 Spaight Junction,3,Individual,PersonaNatural
8245,2 Hoffman Point,2,Individual,PersonaNatural
8246,668 Florence Parkway,4,Individual,PersonaNatural
8247,172 Melby Point,4,Compartida,PersonaNatural
8248,944 Barby Junction,4,Individual,PersonaNatural
8249,007 Towne Avenue,1,Compartida,PersonaNatural
8250,0 Northwestern Terrace,3,Compartida,PersonaNatural
8251,14622 Northfield Center,2,Individual,PersonaNatural
8252,86344 Rutledge Road,1,Compartida,PersonaNatural
8253,94093 Westerfield Street,1,Individual,PersonaNatural
8254,965 Tomscot Plaza,1,Compartida,PersonaNatural
8255,29301 Ridge Oak Road,2,Compartida,PersonaNatural
8256,12014 Talmadge Crossing,3,Individual,PersonaNatural
8257,30235 Rusk Road,3,Compartida,PersonaNatural
8258,662 Bluejay Point,2,Compartida,PersonaNatural
8259,72 Sutteridge Circle,3,Compartida,PersonaNatural
