NUMRESERVA,IDALOJAMIENTO,DIARESERVA,TIEMPODIAS
174,3,2020-08-30 19:30:59,3
175,61,2020-08-18 07:40:58,2
176,94,2020-08-17 14:53:47,4
177,72,2020-08-22 03:20:57,5
178,67,2020-08-03 00:16:37,5
179,63,2020-08-16 09:55:21,1
180,64,2020-08-04 10:33:48,5
181,17,2020-08-24 18:45:40,4
182,38,2020-08-08 02:21:49,1
183,24,2020-08-18 22:22:16,2
184,82,2020-08-15 15:01:10,2
185,81,2020-08-27 01:42:28,2
186,83,2020-08-07 23:41:05,4
187,92,2020-08-19 01:47:14,2
188,50,2020-08-26 08:08:45,4
189,53,2020-08-20 03:59:44,3
190,60,2020-08-24 10:42:47,4
191,54,2020-08-02 04:23:51,1
192,99,2020-08-23 21:46:54,4
193,65,2020-08-17 06:54:45,2
194,53,2020-08-03 07:42:48,4
195,56,2020-08-17 23:01:44,5
196,56,2020-08-29 08:20:41,5
197,24,2020-08-25 02:16:35,4
198,20,2020-08-24 20:22:31,5
199,39,2020-08-05 14:50:31,3
200,77,2020-08-16 13:13:46,2
201,25,2020-08-22 21:54:57,5
202,70,2020-08-30 10:57:40,4
203,95,2020-08-07 11:06:24,5
204,51,2020-08-28 18:12:28,3
205,88,2020-08-29 07:22:58,3
206,90,2020-08-26 19:39:11,5
207,10,2020-08-21 07:25:18,2
208,57,2020-08-03 19:39:42,1
209,20,2020-08-23 08:31:27,2
210,84,2020-08-26 16:52:41,1
211,17,2020-08-15 01:10:10,1
212,56,2020-08-21 00:34:08,3
213,30,2020-08-25 05:39:36,5
214,39,2020-08-05 08:59:38,4
215,75,2020-08-27 09:00:48,1
216,51,2020-08-29 19:40:20,3
217,70,2020-08-11 10:13:43,4
218,45,2020-08-03 02:11:56,1
219,60,2020-08-02 11:40:37,5
220,55,2020-08-26 22:58:02,5
221,71,2020-08-13 20:31:59,3
222,32,2020-08-28 01:16:04,3
223,95,2020-08-05 00:53:37,5
224,83,2020-08-08 09:02:51,5
225,40,2020-08-22 01:12:10,5
226,81,2020-08-06 13:26:12,5
227,90,2020-08-03 03:54:17,3
228,73,2020-08-11 07:02:25,5
229,52,2020-08-15 03:11:58,3
230,20,2020-08-20 22:23:12,1
231,24,2020-08-22 15:19:55,4
232,30,2020-08-24 07:04:26,4
233,27,2020-08-22 03:00:45,5
234,74,2020-08-15 01:03:39,3
235,88,2020-08-25 17:25:30,2
236,52,2020-08-17 18:56:11,4
237,19,2020-08-17 13:24:23,2
238,24,2020-08-26 04:51:55,2
239,73,2020-08-04 10:21:59,2
240,50,2020-08-24 10:59:39,5
241,24,2020-08-05 10:27:30,4
242,17,2020-08-22 11:09:54,5
243,91,2020-08-13 03:48:13,4
244,80,2020-08-23 02:13:18,4
245,81,2020-08-16 17:45:17,2
246,5,2020-08-30 12:17:17,5
247,44,2020-08-19 20:58:40,4
248,60,2020-08-26 02:41:05,5
249,92,2020-08-15 21:45:00,5
250,25,2020-08-11 07:28:50,2
251,26,2020-08-14 05:09:02,5
252,38,2020-08-11 18:28:22,3
253,16,2020-08-23 23:03:25,2
254,11,2020-08-12 03:59:31,1
255,28,2020-08-30 11:12:38,4
256,68,2020-08-27 22:35:48,3
257,14,2020-08-23 11:45:58,2
258,100,2020-08-08 08:25:09,1
259,48,2020-08-18 03:33:56,2
260,20,2020-08-21 23:15:37,3
261,87,2020-08-15 14:24:13,4
262,2,2020-08-20 21:32:58,5
263,84,2020-08-19 15:03:58,2
264,95,2020-08-25 05:15:36,4
265,61,2020-08-04 05:09:21,3
266,87,2020-08-06 03:55:06,5
267,39,2020-08-29 02:54:19,4
268,41,2020-08-12 14:10:22,4
269,46,2020-08-15 17:12:49,5
270,68,2020-08-23 10:47:56,1
271,100,2020-08-27 06:21:22,5
272,23,2020-08-28 10:39:59,4
273,8,2020-08-30 08:29:45,1
274,62,2020-08-19 00:47:02,2
275,77,2020-08-07 14:37:37,5
276,10,2020-08-30 11:28:51,3
277,2,2020-08-06 16:26:05,1
278,98,2020-08-30 18:03:12,3
279,76,2020-08-22 00:27:26,1
280,13,2020-08-15 08:26:08,5
281,83,2020-08-06 13:07:48,3
282,56,2020-08-20 08:19:55,5
283,6,2020-08-30 16:51:45,4
284,98,2020-08-28 19:35:13,4
285,27,2020-08-19 01:26:53,5
286,100,2020-08-25 16:20:44,1
287,43,2020-08-08 00:12:17,4
288,31,2020-08-17 05:16:19,5
289,93,2020-08-26 13:04:31,1
290,7,2020-08-03 11:50:07,4
291,94,2020-08-04 14:36:05,1
292,13,2020-08-12 21:40:32,5
293,32,2020-08-26 08:06:29,4
294,17,2020-08-26 22:36:08,5
295,80,2020-08-24 03:45:46,5
296,25,2020-08-14 11:37:24,2
297,15,2020-08-22 19:50:28,3
298,99,2020-08-23 05:07:05,1
299,14,2020-08-11 01:29:22,5
300,51,2020-08-24 04:21:09,3
301,14,2020-08-13 01:01:33,5
302,75,2020-08-08 05:53:35,3
303,54,2020-08-13 09:00:11,5
304,69,2020-08-20 03:49:06,5
305,43,2020-08-28 12:50:46,3
306,22,2020-08-09 22:37:32,5
307,92,2020-08-28 19:18:59,5
308,87,2020-08-26 17:49:44,3
309,4,2020-08-13 16:40:01,1
310,1,2020-08-17 20:03:21,2
311,37,2020-08-20 05:19:57,3
312,52,2020-08-17 06:32:45,1
313,10,2020-08-26 02:12:30,2
314,77,2020-08-27 11:38:18,2
315,10,2020-08-18 19:04:26,5
316,54,2020-08-24 22:45:55,4
317,85,2020-08-14 11:27:44,4
318,38,2020-08-30 05:43:19,1
319,70,2020-08-22 23:33:23,2
320,20,2020-08-18 11:06:18,2
321,7,2020-08-18 17:26:57,3
322,38,2020-08-04 17:31:06,2
323,45,2020-08-01 09:44:18,2
324,28,2020-08-22 12:19:44,3
325,46,2020-08-10 07:33:49,4
326,15,2020-08-20 18:08:03,3
327,27,2020-08-25 12:15:11,2
328,17,2020-08-01 00:20:11,2
329,19,2020-08-18 17:40:33,5
330,39,2020-08-25 10:31:29,1
331,65,2020-08-20 06:21:01,5
332,50,2020-08-26 09:12:34,3
333,12,2020-08-13 07:28:42,1
334,86,2020-08-13 18:15:29,4
335,29,2020-08-08 05:31:06,2
336,6,2020-08-12 04:07:43,4
337,40,2020-08-29 07:19:19,5
338,46,2020-08-19 20:12:31,4
339,15,2020-08-01 21:57:16,5
340,52,2020-08-13 17:04:29,1
341,63,2020-08-14 04:40:36,1
342,28,2020-08-07 02:40:32,3
343,49,2020-08-20 09:49:40,2
344,72,2020-08-04 14:36:30,3
345,85,2020-08-14 21:17:19,3
346,55,2020-08-30 07:33:18,1
347,31,2020-08-25 20:24:12,1
348,46,2020-08-17 14:27:38,4
349,76,2020-08-06 09:41:43,1
350,36,2020-08-11 21:35:46,4
351,16,2020-08-11 00:13:20,2
352,33,2020-08-20 04:55:05,4
353,84,2020-08-05 03:34:32,2
354,61,2020-08-10 04:43:27,1
355,73,2020-08-27 10:12:01,1
356,8,2020-08-23 10:21:13,1
357,13,2020-08-03 05:00:12,4
358,53,2020-08-07 17:31:22,3
359,61,2020-08-16 08:17:05,4
360,75,2020-08-24 04:25:05,1
361,48,2020-08-21 08:19:38,2
362,39,2020-08-02 15:14:10,3
363,35,2020-08-15 09:22:50,2
364,28,2020-08-09 13:06:32,1
365,37,2020-08-21 16:27:46,2
366,61,2020-08-30 10:50:57,3
367,10,2020-08-28 12:49:12,5
368,3,2020-08-01 12:54:51,5
369,79,2020-08-05 16:23:53,5
370,96,2020-08-27 20:48:54,4
371,78,2020-08-13 09:35:21,3
372,5,2020-08-04 16:54:29,5
373,48,2020-08-19 01:55:19,3
374,9,2020-08-27 14:27:30,3
375,18,2020-08-15 06:31:43,1
376,64,2020-08-12 04:55:13,2
377,54,2020-08-02 08:59:46,1
378,76,2020-08-12 06:15:22,4
379,38,2020-08-27 10:54:53,2
380,80,2020-08-19 06:08:55,2
381,5,2020-08-27 21:47:00,2
382,25,2020-08-12 18:50:54,4
383,56,2020-08-28 13:15:58,5
384,47,2020-08-30 14:28:20,3
385,24,2020-08-22 07:29:00,3
386,59,2020-08-19 14:36:06,3
387,31,2020-08-17 14:03:04,4
388,93,2020-08-18 21:39:06,3
389,7,2020-08-15 01:44:53,4
390,82,2020-08-22 07:02:22,4
391,67,2020-08-19 02:25:43,3
392,52,2020-08-20 07:22:31,2
393,7,2020-08-04 21:23:14,3
394,33,2020-08-03 21:18:54,4
395,3,2020-08-21 01:34:57,1
396,15,2020-08-27 15:17:46,4
397,98,2020-08-01 12:06:59,5
398,4,2020-08-18 06:09:33,1
399,9,2020-08-14 01:32:13,1
400,63,2020-08-30 18:28:44,1
401,20,2020-08-18 10:40:31,3
402,91,2020-08-12 16:17:39,5
403,97,2020-08-18 17:30:16,2
404,95,2020-08-03 03:44:53,1
405,35,2020-08-08 20:19:18,4
406,22,2020-08-24 20:54:35,2
407,90,2020-08-26 06:26:01,4
408,78,2020-08-11 16:35:10,4
409,63,2020-08-24 11:46:30,2
410,16,2020-08-17 08:14:15,4
411,72,2020-08-15 17:22:07,3
412,81,2020-08-22 07:39:40,3
413,5,2020-08-29 03:47:12,1
414,41,2020-08-05 09:50:26,4
415,92,2020-08-28 17:13:23,2
416,76,2020-08-26 19:21:19,5
417,97,2020-08-20 16:16:56,3
418,41,2020-08-24 13:44:24,2
419,46,2020-08-17 18:50:57,3
420,70,2020-08-05 11:11:52,4
421,43,2020-08-20 13:22:43,5
422,15,2020-08-05 11:56:32,3
423,96,2020-08-29 10:17:29,1
424,98,2020-08-25 03:43:03,3
425,16,2020-08-22 17:38:25,3
426,21,2020-08-01 17:58:46,4
427,87,2020-08-29 01:02:44,1
428,38,2020-08-05 13:21:22,3
429,87,2020-08-21 18:25:23,5
430,87,2020-08-22 07:52:24,1
431,8,2020-08-02 10:08:45,5
432,87,2020-08-04 22:04:43,1
433,17,2020-08-13 05:16:49,1
434,17,2020-08-10 23:58:42,4
435,60,2020-08-09 16:55:25,1
436,57,2020-08-26 13:03:26,1
437,85,2020-08-11 12:38:37,2
438,77,2020-08-26 12:26:35,5
439,35,2020-08-13 13:06:36,2
440,78,2020-08-05 17:58:54,5
441,62,2020-08-21 16:59:13,1
442,97,2020-08-22 03:51:50,2
443,32,2020-08-12 20:33:40,5
444,87,2020-08-29 06:34:49,5
445,83,2020-08-21 21:04:22,4
446,11,2020-08-25 21:00:13,2
447,52,2020-08-30 15:53:49,2
448,8,2020-08-01 07:46:43,2
449,31,2020-08-02 14:44:14,1
450,11,2020-08-15 16:42:29,2
451,79,2020-08-16 00:32:49,2
452,5,2020-08-18 01:57:21,4
453,54,2020-08-05 11:51:11,4
454,24,2020-08-11 22:38:02,3
455,16,2020-08-23 03:04:08,2
456,74,2020-08-16 09:14:12,1
457,68,2020-08-01 03:15:52,4
458,85,2020-08-21 00:17:18,3
459,73,2020-08-14 00:05:29,1
460,93,2020-08-29 01:39:43,2
461,34,2020-08-05 20:18:56,3
462,84,2020-08-10 20:54:22,1
463,12,2020-08-06 23:55:35,5
464,79,2020-08-09 22:13:51,3
465,11,2020-08-23 10:39:48,2
466,40,2020-08-03 15:16:14,3
467,34,2020-08-29 14:24:28,4
468,57,2020-08-29 07:22:09,4
469,27,2020-08-24 05:04:57,2
470,42,2020-08-04 00:44:51,2
471,62,2020-08-13 16:02:35,5
472,84,2020-08-13 08:00:36,4
473,65,2020-08-20 17:21:37,1
474,36,2020-08-16 05:01:43,2
475,77,2020-08-23 16:43:02,5
476,52,2020-08-14 03:29:45,3
477,98,2020-08-20 18:22:17,1
478,7,2020-08-24 15:24:23,3
479,2,2020-08-01 19:48:23,2
480,23,2020-08-11 14:39:49,5
481,51,2020-08-17 06:40:28,1
482,87,2020-08-25 07:04:17,1
483,80,2020-08-09 10:58:51,3
484,65,2020-08-30 13:16:46,4
485,15,2020-08-28 00:45:24,2
486,56,2020-08-14 14:00:01,5
487,2,2020-08-30 20:54:37,4
488,96,2020-08-24 00:47:14,3
489,28,2020-08-21 06:20:09,5
490,2,2020-08-01 11:51:25,3
491,7,2020-08-13 01:09:44,3
492,15,2020-08-11 18:34:54,3
493,70,2020-08-07 12:35:29,2
494,89,2020-08-28 22:16:18,2
495,93,2020-08-08 08:27:23,4
496,76,2020-08-10 20:22:11,3
497,37,2020-08-08 14:59:12,4
498,3,2020-08-30 12:02:30,5
499,10,2020-08-26 16:52:25,5
500,37,2020-08-29 14:24:44,4
501,96,2020-08-25 16:03:28,4
502,42,2020-08-08 23:47:57,1
503,19,2020-08-02 10:07:02,5
504,34,2020-08-21 22:19:37,3
505,90,2020-08-04 15:47:36,5
506,59,2020-08-29 07:08:11,3
507,10,2020-08-28 21:33:26,4
508,16,2020-08-25 07:02:27,4
509,98,2020-08-25 03:25:29,4
510,95,2020-08-26 22:32:43,2
511,39,2020-08-08 12:00:40,3
512,17,2020-08-21 17:02:22,1
513,44,2020-08-06 15:20:20,4
514,74,2020-08-28 09:00:58,3
515,10,2020-08-26 02:13:00,4
516,18,2020-08-18 13:59:18,2
517,7,2020-08-03 12:05:35,1
518,70,2020-08-06 18:17:01,3
519,85,2020-08-16 08:41:05,2
520,34,2020-08-16 13:47:43,2
521,65,2020-08-12 18:48:16,4
522,92,2020-08-29 05:41:20,1
523,48,2020-08-27 07:31:50,5
524,94,2020-08-15 14:22:12,2
525,6,2020-08-18 07:11:47,3
526,25,2020-08-25 05:58:42,2
527,76,2020-08-11 15:58:08,2
528,38,2020-08-10 03:06:09,2
529,21,2020-08-24 18:37:50,2
530,97,2020-08-27 06:03:38,2
531,85,2020-08-03 18:49:15,5
532,30,2020-08-28 19:10:42,5
533,4,2020-08-25 08:40:07,5
534,13,2020-08-22 20:39:52,2
535,21,2020-08-21 19:13:30,2
536,96,2020-08-22 20:48:52,4
537,97,2020-08-23 13:50:35,4
538,40,2020-08-29 08:12:06,5
539,32,2020-08-24 19:36:13,5
540,42,2020-08-30 22:32:47,5
541,21,2020-08-26 20:25:58,4
542,80,2020-08-23 18:23:45,2
543,48,2020-08-23 18:40:14,5
544,45,2020-08-09 00:20:37,1
545,94,2020-08-22 18:45:59,4
546,93,2020-08-08 09:24:18,3
547,87,2020-08-02 11:19:27,3
548,61,2020-08-20 11:49:58,4
549,46,2020-08-12 11:11:22,5
550,27,2020-08-20 00:59:54,4
551,62,2020-08-12 06:04:05,2
552,52,2020-08-25 09:58:37,5
553,20,2020-08-26 18:47:06,5
554,38,2020-08-11 14:33:21,1
555,26,2020-08-12 02:06:06,1
556,75,2020-08-22 17:17:37,2
557,69,2020-08-23 09:05:15,4
558,67,2020-08-07 10:28:00,5
559,9,2020-08-14 22:20:55,1
560,37,2020-08-23 06:36:12,5
561,38,2020-08-28 19:09:58,4
562,11,2020-08-26 10:09:37,3
563,83,2020-08-09 20:57:01,1
564,82,2020-08-27 13:53:02,4
565,57,2020-08-18 06:49:21,5
566,77,2020-08-03 07:14:56,4
567,86,2020-08-08 06:35:26,4
568,43,2020-08-11 12:36:38,3
569,98,2020-08-07 12:54:11,1
570,13,2020-08-07 07:35:41,5
571,41,2020-08-04 04:30:10,5
572,98,2020-08-03 01:41:06,2
573,73,2020-08-27 06:13:15,3
574,63,2020-08-14 14:17:53,5
575,97,2020-08-13 22:02:38,2
576,17,2020-08-20 17:09:08,2
577,53,2020-08-07 10:20:41,5
578,2,2020-08-23 16:46:28,4
579,38,2020-08-11 22:16:17,4
580,75,2020-08-04 07:09:42,1
581,69,2020-08-23 09:59:48,1
582,74,2020-08-02 03:13:05,1
583,80,2020-08-22 13:22:37,3
584,19,2020-08-28 21:55:00,2
585,36,2020-08-10 19:04:56,4
586,1,2020-08-08 03:35:24,2
587,63,2020-08-07 20:20:02,4
588,16,2020-08-12 04:36:35,4
589,84,2020-08-02 10:30:20,4
590,48,2020-08-14 15:53:54,4
591,46,2020-08-16 20:27:53,2
592,10,2020-08-23 01:49:00,3
593,91,2020-08-19 17:43:26,4
594,81,2020-08-16 11:50:00,1
595,31,2020-08-05 10:22:15,4
596,86,2020-08-05 03:21:23,5
597,3,2020-08-25 16:35:36,5
598,46,2020-08-07 08:16:22,2
599,61,2020-08-07 19:42:59,2
600,11,2020-08-05 16:44:10,4
601,9,2020-08-19 11:07:02,1
602,31,2020-08-20 22:28:39,3
603,66,2020-08-18 07:05:36,1
604,36,2020-08-14 09:24:13,3
605,4,2020-08-05 00:02:07,5
606,41,2020-08-18 03:36:43,5
607,94,2020-08-27 07:02:16,4
608,37,2020-08-16 18:08:42,5
609,52,2020-08-07 01:58:57,1
610,35,2020-08-15 06:49:35,3
611,35,2020-08-18 06:00:17,2
612,53,2020-08-13 17:16:46,1
613,83,2020-08-14 19:42:08,5
614,60,2020-08-29 22:08:22,5
615,58,2020-08-12 08:26:38,3
616,70,2020-08-20 09:51:44,5
617,60,2020-08-14 03:34:23,1
618,91,2020-08-16 17:24:02,1
619,91,2020-08-03 12:35:08,3
620,73,2020-08-16 11:22:30,5
621,70,2020-08-18 22:45:52,3
622,44,2020-08-27 09:01:39,5
623,50,2020-08-08 08:40:13,2
624,3,2020-08-30 02:27:42,2
625,59,2020-08-01 23:44:53,4
626,90,2020-08-15 19:51:12,5
627,25,2020-08-04 17:14:48,4
628,1,2020-08-10 15:19:37,1
629,6,2020-08-20 06:52:07,4
630,42,2020-08-11 03:09:11,3
631,7,2020-08-26 06:26:55,5
632,89,2020-08-25 19:34:12,2
633,84,2020-08-27 13:31:24,5
634,81,2020-08-29 23:19:28,2
635,90,2020-08-23 05:48:01,4
636,75,2020-08-25 12:49:55,4
637,52,2020-08-18 23:46:32,3
638,90,2020-08-17 11:22:11,3
639,54,2020-08-05 18:23:49,5
640,51,2020-08-23 22:30:24,5
641,100,2020-08-13 15:15:56,4
642,73,2020-08-13 16:37:09,3
643,45,2020-08-24 03:58:10,3
644,15,2020-08-18 12:10:17,4
645,65,2020-08-22 20:10:07,5
646,46,2020-08-01 02:41:51,3
647,38,2020-08-12 05:57:25,2
648,58,2020-08-24 12:42:11,2
649,39,2020-08-13 01:17:16,5
650,11,2020-08-12 19:07:53,2
651,35,2020-08-02 19:38:09,3
652,10,2020-08-29 18:27:30,3
653,30,2020-08-18 01:19:19,2
654,71,2020-08-26 23:43:01,1
655,15,2020-08-09 06:32:59,3
656,48,2020-08-23 03:49:53,3
657,48,2020-08-27 10:00:43,5
658,44,2020-08-06 18:00:05,1
659,94,2020-08-21 14:59:56,3
660,82,2020-08-03 17:02:31,3
661,49,2020-08-01 02:03:26,3
662,70,2020-08-04 13:59:21,4
663,68,2020-08-27 11:17:44,5
664,73,2020-08-03 12:38:14,3
665,42,2020-08-14 01:25:44,4
666,33,2020-08-25 09:50:54,3
667,8,2020-08-07 20:45:58,2
668,19,2020-08-21 05:37:00,4
669,2,2020-08-12 14:54:06,4
670,79,2020-08-27 10:59:29,4
671,90,2020-08-19 13:24:08,5
672,21,2020-08-01 12:57:20,1
673,3,2020-08-09 03:38:44,2
674,19,2020-08-21 06:08:30,3
675,54,2020-08-26 16:03:46,4
676,73,2020-08-15 05:06:34,2
677,8,2020-08-18 00:20:03,5
678,61,2020-08-08 18:05:21,4
679,13,2020-08-21 18:41:02,4
680,86,2020-08-18 07:46:40,4
681,21,2020-08-29 08:31:52,2
682,46,2020-08-19 10:46:27,5
683,16,2020-08-22 07:50:02,4
684,92,2020-08-08 16:53:28,4
685,16,2020-08-04 10:34:27,3
686,49,2020-08-24 00:37:32,2
687,30,2020-08-18 16:03:15,5
688,33,2020-08-02 18:28:53,2
689,86,2020-08-19 22:11:21,1
690,39,2020-08-17 23:30:02,1
691,32,2020-08-29 04:11:55,5
692,46,2020-08-30 01:54:10,3
693,83,2020-08-17 00:40:53,3
694,14,2020-08-25 17:38:55,4
695,50,2020-08-28 16:29:59,3
696,67,2020-08-19 19:38:57,3
697,70,2020-08-25 00:48:50,2
698,99,2020-08-26 14:55:58,4
699,80,2020-08-01 20:02:15,4
700,60,2020-08-09 18:50:41,2
701,61,2020-08-04 09:29:58,5
702,42,2020-08-26 10:10:58,2
703,6,2020-08-24 21:15:34,5
704,59,2020-08-02 04:23:28,1
705,8,2020-08-07 06:34:29,5
706,62,2020-08-23 22:51:22,3
707,68,2020-08-09 12:10:57,5
708,19,2020-08-27 02:42:59,5
709,62,2020-08-06 11:43:41,4
710,20,2020-08-10 01:41:26,3
711,38,2020-08-24 19:42:54,1
712,56,2020-08-16 00:51:02,4
713,40,2020-08-03 03:38:12,4
714,1,2020-08-09 16:19:27,2
715,21,2020-08-14 15:34:17,5
716,98,2020-08-08 02:17:47,5
717,7,2020-08-11 13:10:04,3
718,11,2020-08-06 12:02:43,4
719,40,2020-08-25 08:03:16,3
720,7,2020-08-15 09:23:14,2
721,5,2020-08-08 13:11:22,3
722,18,2020-08-10 15:26:39,3
723,70,2020-08-25 15:01:51,4
724,50,2020-08-08 20:48:41,1
725,20,2020-08-13 06:15:49,5
726,56,2020-08-07 10:00:54,5
727,73,2020-08-19 17:21:06,4
728,93,2020-08-16 17:31:08,3
729,79,2020-08-11 00:02:38,4
730,67,2020-08-30 13:26:50,5
731,50,2020-08-01 20:04:55,4
732,72,2020-08-17 08:12:12,1
